session_id,customer_id,vehicle_id,station_id,charger_id,charger_type,start_time,end_time,initial_soc,target_soc,energy_consumed_kwh,charging_duration_minutes,station_utilization,queue_length,cost_inr,payment_method,date,hour,day_of_week,month,is_weekend,is_peak_hour,soc_gap,customer_segment,station_name,city,total_chargers,customer_type,customer_city,vehicle_type,vehicle_model,battery_capacity_kwh
58942,CU04429,V01705,S011,C0076,AC,2025-08-29 10:48:00,2025-08-29 11:41:06.340291628,52,83,9.3,53.1,0.22,2,111.6,UPI,2025-08-29,10,Friday,August,0,0,31,Regular,Vasant Kunj,Delhi,4,Individual,Gurgaon,Hatchback,Tata Tiago EV,30
19023,CU01404,V00033,S018,C0116,AC,2025-10-19 10:01:00,2025-10-19 12:37:09.655670598,56,100,24.2,156.2,0.54,3,290.4,UPI,2025-10-19,10,Sunday,October,1,0,44,Regular,Sector 137,Gurgaon,7,Individual,Noida,Sedan,BYD Seal,55
54088,CU00382,V06027,S013,C0083,DC_FAST,2025-05-13 08:08:00,2025-05-13 08:16:00.000000000,30,58,9.8,8.0,0.57,1,196.0,UPI,2025-05-13,8,Tuesday,May,0,1,28,Regular,Indirapuram,Noida,8,Individual,Delhi,Hatchback,MG Comet,35
55845,CU02347,V02579,S013,C0087,DC_FAST,2025-08-14 12:27:00,2025-08-14 12:38:28.100305191,39,100,2.44,11.5,0.69,4,48.8,UPI,2025-08-14,12,Thursday,August,0,0,61,Regular,Indirapuram,Noida,8,Individual,Ghaziabad,Two-Wheeler,Ather 450X,4
49786,CU01433,V07481,S003,C0012,AC,2025-06-15 17:03:00,2025-06-15 18:06:35.193203579,52,72,11.0,63.6,0.57,6,132.0,UPI,2025-06-15,17,Sunday,June,1,0,20,Regular,Sector 18,Noida,7,Individual,Faridabad,Sedan,MG5,55
53832,CU01899,V06747,S006,C0036,AC,2025-05-20 21:04:00,2025-05-20 21:45:54.110916680,52,82,15.0,41.9,0.43,4,180.0,Debit Card,2025-05-20,21,Tuesday,May,0,0,30,Regular,Karol Bagh,Delhi,9,Individual,Noida,Sedan,MG5,50
35250,CU00408,V01351,S001,C0001,DC_FAST,2025-09-09 21:04:00,2025-09-09 21:30:13.172520539,26,76,37.5,26.2,0.95,2,750.0,Wallet,2025-09-09,21,Tuesday,September,0,0,50,Regular,Connaught Place,Gurgaon,6,Individual,Gurgaon,SUV,Mahindra XUV400,75
33032,CU00403,V06139,S004,C0021,AC,2025-02-06 10:20:00,2025-02-06 12:36:20.176859398,41,68,13.5,136.3,0.71,3,162.0,UPI,2025-02-06,10,Thursday,February,0,0,27,Regular,DLF Phase 3,Gurgaon,7,Individual,Gurgaon,Sedan,BYD Seal,50
54188,CU02162,V06595,S003,C0015,AC,2025-09-22 19:03:00,2025-09-22 21:04:04.071491548,34,100,19.2,121.1,0.24,2,475.2,UPI,2025-09-22,19,Monday,September,0,1,66,Regular,Sector 18,Noida,7,Individual,Gurgaon,Commercial Van,Tata Ace EV,60
63991,CU00757,V00797,S020,C0125,DC_FAST,2025-10-27 10:04:00,2025-10-27 10:40:12.720983835,39,100,36.6,36.2,0.48,1,732.0,Wallet,2025-10-27,10,Monday,October,0,0,61,Regular,Sohna Road,Delhi,7,Individual,Gurgaon,Sedan,MG5,60
60224,CU03144,V06094,S006,C0037,DC_FAST,2025-06-08 08:57:00,2025-06-08 09:05:00.000000000,37,100,2.52,8.0,0.6,2,50.4,UPI,2025-06-08,8,Sunday,June,1,1,63,Regular,Karol Bagh,Delhi,9,Individual,Noida,Two-Wheeler,Ola S1,4
39683,CU01710,V04205,S018,C0116,AC,2025-12-19 09:29:00,2025-12-19 09:40:01.650659441,23,44,0.84,11.0,0.32,3,10.08,Credit Card,2025-12-19,9,Friday,December,0,1,21,Regular,Sector 137,Gurgaon,7,Fleet,Faridabad,Two-Wheeler,Ather 450X,4
42719,CU03828,V05033,S018,C0116,AC,2025-05-13 16:29:00,2025-05-13 18:39:46.497731081,23,46,18.86,130.8,0.77,3,226.32,UPI,2025-05-13,16,Tuesday,May,0,0,23,Regular,Sector 137,Gurgaon,7,Individual,Delhi,SUV,Hyundai Ioniq 5,82
57324,CU03457,V06324,S004,C0023,DC,2025-10-05 06:54:00,2025-10-05 08:56:09.089520436,56,98,50.4,122.2,0.95,1,806.4,UPI,2025-10-05,6,Sunday,October,1,0,42,Regular,DLF Phase 3,Gurgaon,7,Individual,Faridabad,Commercial Van,Tata Ace EV,120
48290,CU04708,V06433,S002,C0009,AC,2025-11-18 23:48:00,2025-11-19 07:00:33.844381729,43,100,46.74,432.6,0.32,4,560.88,Wallet,2025-11-18,23,Tuesday,November,0,0,57,Regular,Cyber Hub,Ghaziabad,5,Individual,Gurgaon,SUV,Hyundai Ioniq 5,82
22140,CU00040,V07675,S009,C0061,AC,2025-07-08 08:30:00,2025-07-08 08:38:00.000000000,10,67,1.14,8.0,0.41,1,13.68,UPI,2025-07-08,8,Tuesday,July,0,1,57,Regular,Dwarka Sector 21,Gurgaon,7,Individual,Noida,Two-Wheeler,Ather 450X,2
47379,CU00026,V02796,S011,C0076,AC,2025-03-24 19:40:00,2025-03-24 23:15:16.085902887,56,100,35.2,215.3,0.6,2,422.4,Debit Card,2025-03-24,19,Monday,March,0,1,44,Regular,Vasant Kunj,Delhi,4,Individual,Noida,Commercial Van,Mahindra Treo,80
50599,CU02338,V01941,S015,C0102,AC,2025-11-12 09:17:00,2025-11-12 10:52:33.255580153,21,43,15.4,95.6,0.2,3,184.8,Debit Card,2025-11-12,9,Wednesday,November,0,1,22,Regular,Sector 29,Delhi,8,Individual,Gurgaon,SUV,Tata Nexon EV,70
16030,CU01583,V03614,S015,C0098,DC,2025-09-30 17:00:00,2025-09-30 18:16:05.099272147,40,100,33.0,76.1,0.3,4,528.0,UPI,2025-09-30,17,Tuesday,September,0,0,60,Regular,Sector 29,Delhi,8,Fleet,Faridabad,Sedan,MG5,55
27314,CU01782,V06946,S010,C0070,AC,2025-11-09 19:30:00,2025-11-09 19:44:21.263239081,25,93,2.72,14.4,0.86,2,32.64,Wallet,2025-11-09,19,Sunday,November,1,1,68,Regular,Saket,Noida,7,Fleet,Gurgaon,Two-Wheeler,Ather 450X,4
46800,CU03908,V04640,S006,C0041,DC,2025-11-09 07:08:00,2025-11-09 07:51:37.131358634,40,86,16.1,43.6,0.62,3,257.6,UPI,2025-11-09,7,Sunday,November,1,0,46,Regular,Karol Bagh,Delhi,9,Individual,Delhi,Hatchback,MG Comet,35
37077,CU02335,V03756,S018,C0120,AC,2025-06-12 18:33:00,2025-06-12 20:37:38.326940130,45,86,41.0,124.6,0.33,2,492.0,Credit Card,2025-06-12,18,Thursday,June,0,1,41,Regular,Sector 137,Gurgaon,7,Individual,Faridabad,SUV,Hyundai Ioniq 5,100
17519,CU00047,V04250,S011,C0076,AC,2025-05-13 23:05:00,2025-05-13 23:13:00.000000000,41,100,2.36,8.0,0.51,1,28.32,Credit Card,2025-05-13,23,Tuesday,May,0,0,59,Regular,Vasant Kunj,Delhi,4,Fleet,Faridabad,Two-Wheeler,Ather 450X,4
20360,CU02391,V01475,S015,C0102,AC,2025-12-04 11:18:00,2025-12-04 11:33:54.509164468,30,86,1.12,15.9,0.78,5,13.44,UPI,2025-12-04,11,Thursday,December,0,0,56,Regular,Sector 29,Delhi,8,Individual,Gurgaon,Two-Wheeler,Ather 450X,2
64491,CU04366,V03642,S004,C0023,DC,2025-10-17 19:07:00,2025-10-17 19:19:46.883537542,36,71,1.4,12.8,0.28,5,22.4,Debit Card,2025-10-17,19,Friday,October,0,1,35,Regular,DLF Phase 3,Gurgaon,7,Individual,Gurgaon,Two-Wheeler,Ather 450X,4
54402,CU00912,V02157,S013,C0083,DC_FAST,2025-07-15 19:18:00,2025-07-15 19:26:11.254678925,50,84,0.68,8.2,0.62,5,13.6,UPI,2025-07-15,19,Tuesday,July,0,1,34,Regular,Indirapuram,Noida,8,Individual,Ghaziabad,Two-Wheeler,Ola S1,2
66004,CU00348,V06096,S014,C0093,DC,2025-02-02 00:07:00,2025-02-02 00:15:00.000000000,24,76,1.04,8.0,0.23,4,16.64,Credit Card,2025-02-02,0,Sunday,February,1,0,52,Regular,Lajpat Nagar,Delhi,6,Individual,Noida,Two-Wheeler,Ather 450X,2
47014,CU03907,V06919,S012,C0078,DC,2025-11-21 07:52:00,2025-11-21 08:43:33.225542010,28,91,18.9,51.6,0.94,4,302.4,UPI,2025-11-21,7,Friday,November,0,0,63,Regular,Golf Course Road,Ghaziabad,6,Individual,Ghaziabad,Hatchback,Tata Tiago EV,30
34099,CU02328,V07288,S010,C0066,AC,2025-09-18 10:52:00,2025-09-18 13:36:04.427354543,32,54,15.4,164.1,0.67,3,184.8,UPI,2025-09-18,10,Thursday,September,0,0,22,Regular,Saket,Noida,7,Individual,Delhi,SUV,Mahindra XUV400,70
58677,CU01181,V00525,S001,C0003,DC,2025-09-26 15:23:00,2025-09-26 15:33:45.249407647,43,100,1.71,10.8,0.73,4,27.36,Debit Card,2025-09-26,15,Friday,September,0,0,57,Regular,Connaught Place,Gurgaon,6,Individual,Ghaziabad,Two-Wheeler,Ather 450X,3
20755,CU00798,V00308,S020,C0131,DC_FAST,2025-04-23 18:48:00,2025-04-23 19:13:01.140759168,7,63,22.4,25.0,0.32,3,448.0,UPI,2025-04-23,18,Wednesday,April,0,1,56,Regular,Sohna Road,Delhi,7,Individual,Gurgaon,Hatchback,MG Comet,40
64692,CU02698,V03192,S012,C0081,DC,2025-12-13 14:46:00,2025-12-13 15:19:56.945694430,37,88,25.5,33.9,0.59,4,408.0,Wallet,2025-12-13,14,Saturday,December,1,0,51,Regular,Golf Course Road,Ghaziabad,6,Individual,Faridabad,Sedan,BYD Seal,50
68647,CU02335,V01313,S015,C0102,AC,2025-08-18 14:41:00,2025-08-18 19:26:11.165488544,35,87,42.64,285.2,0.84,2,511.68,Debit Card,2025-08-18,14,Monday,August,0,0,52,Regular,Sector 29,Delhi,8,Individual,Faridabad,SUV,Mahindra XUV400,82
69148,CU02523,V05785,S010,C0066,AC,2025-03-06 20:25:00,2025-03-06 20:47:11.155475517,13,62,0.98,22.2,0.89,4,11.76,UPI,2025-03-06,20,Thursday,March,0,1,49,Regular,Saket,Noida,7,Individual,Gurgaon,Two-Wheeler,Ather 450X,2
15895,CU04206,V06290,S012,C0078,DC,2025-08-13 04:40:00,2025-08-13 04:51:17.040426317,16,41,0.5,11.3,0.57,3,8.0,Debit Card,2025-08-13,4,Wednesday,August,0,0,25,Regular,Golf Course Road,Ghaziabad,6,Fleet,Gurgaon,Two-Wheeler,Ather 450X,2
31594,CU00621,V04696,S013,C0086,AC,2025-07-28 15:41:00,2025-07-28 20:31:05.765388313,18,82,19.2,290.1,0.29,2,384.0,UPI,2025-07-28,15,Monday,July,0,0,64,Regular,Indirapuram,Noida,8,Fleet,Gurgaon,Sedan,MG5,50
60740,CU00810,V01708,S005,C0026,AC,2025-11-26 10:59:00,2025-11-26 14:32:52.222822887,44,64,20.0,213.9,0.87,6,240.0,UPI,2025-11-26,10,Wednesday,November,0,0,20,Regular,Rajouri Garden,Delhi,9,Fleet,Faridabad,SUV,Tata Nexon EV,100
43152,CU04480,V07666,S018,C0114,AC,2025-08-31 20:22:00,2025-08-31 20:37:18.823650759,12,43,0.93,15.3,0.58,4,11.16,Wallet,2025-08-31,20,Sunday,August,1,1,31,Regular,Sector 137,Gurgaon,7,Individual,Ghaziabad,Two-Wheeler,Ather 450X,3
15013,CU00595,V03668,S002,C0008,AC,2025-12-18 19:03:00,2025-12-19 01:12:54.599192824,7,58,35.7,369.9,0.63,5,428.4,UPI,2025-12-18,19,Thursday,December,0,1,51,Regular,Cyber Hub,Ghaziabad,5,Individual,Delhi,SUV,Hyundai Ioniq 5,70
41650,CU02839,V02577,S017,C0111,DC,2025-05-23 07:03:00,2025-05-23 07:44:46.224851999,38,100,31.0,41.8,0.38,4,496.0,Credit Card,2025-05-23,7,Friday,May,0,0,62,Regular,Udyog Vihar,Delhi,5,Individual,Ghaziabad,Sedan,MG5,50
10609,CU04948,V01639,S014,C0092,AC,2025-09-16 18:13:00,2025-09-16 20:00:19.501949220,22,54,11.2,107.3,0.47,3,134.4,UPI,2025-09-16,18,Tuesday,September,0,1,32,Regular,Lajpat Nagar,Delhi,6,Fleet,Delhi,Hatchback,Tata Tiago EV,35
22792,CU01389,V05128,S012,C0080,DC_FAST,2025-09-20 08:35:00,2025-09-20 08:53:57.934184661,37,74,14.8,19.0,0.54,3,296.0,Wallet,2025-09-20,8,Saturday,September,1,1,37,Regular,Golf Course Road,Ghaziabad,6,Individual,Faridabad,Hatchback,Tata Tiago EV,40
28293,CU03925,V02202,S011,C0076,AC,2025-01-06 15:52:00,2025-01-06 17:00:52.091857993,9,30,8.4,68.9,0.46,3,100.8,UPI,2025-01-06,15,Monday,January,0,0,21,Regular,Vasant Kunj,Delhi,4,Individual,Delhi,Hatchback,MG Comet,40
47040,CU03246,V02538,S006,C0040,AC,2025-10-01 09:43:00,2025-10-01 12:36:22.926436850,22,75,26.5,173.4,0.69,3,318.0,UPI,2025-10-01,9,Wednesday,October,0,1,53,Regular,Karol Bagh,Delhi,9,Individual,Faridabad,Sedan,BYD Seal,50
26524,CU01826,V02228,S018,C0114,AC,2025-12-14 19:36:00,2025-12-14 23:32:18.589344497,44,81,22.2,236.3,0.82,3,266.4,Wallet,2025-12-14,19,Sunday,December,1,1,37,Regular,Sector 137,Gurgaon,7,Fleet,Faridabad,Sedan,BYD Seal,60
67159,CU01013,V04185,S003,C0014,AC,2025-10-11 18:56:00,2025-10-11 20:06:34.788649880,15,36,12.6,70.6,0.5,2,151.2,UPI,2025-10-11,18,Saturday,October,1,1,21,Regular,Sector 18,Noida,7,Individual,Noida,Commercial Van,Tata Ace EV,60
21976,CU01620,V03833,S005,C0032,DC_FAST,2025-07-20 16:00:00,2025-07-20 16:16:06.624415696,19,51,17.6,16.1,0.46,2,352.0,Credit Card,2025-07-20,16,Sunday,July,1,0,32,Regular,Rajouri Garden,Delhi,9,Individual,Ghaziabad,Sedan,MG5,55
32834,CU00982,V07913,S006,C0040,AC,2025-07-22 11:58:00,2025-07-22 16:21:21.964790159,49,100,41.82,263.4,0.56,5,501.84,UPI,2025-07-22,11,Tuesday,July,0,0,51,Regular,Karol Bagh,Delhi,9,Individual,Noida,SUV,Hyundai Ioniq 5,82
35312,CU02658,V01850,S015,C0102,AC,2025-05-06 10:44:00,2025-05-06 13:21:08.128889354,57,100,25.8,157.1,0.27,7,309.6,Wallet,2025-05-06,10,Tuesday,May,0,0,43,Regular,Sector 29,Delhi,8,Individual,Ghaziabad,Sedan,BYD Seal,60
48037,CU04379,V05552,S010,C0069,AC,2025-11-07 08:19:00,2025-11-07 09:11:56.341449290,23,48,8.75,52.9,0.74,5,105.0,UPI,2025-11-07,8,Friday,November,0,1,25,Regular,Saket,Noida,7,Individual,Noida,Hatchback,MG Comet,35
63309,CU01578,V04267,S009,C0060,DC,2025-05-13 17:33:00,2025-05-13 17:55:53.567814658,31,60,11.6,22.9,0.25,3,185.6,Credit Card,2025-05-13,17,Tuesday,May,0,0,29,Regular,Dwarka Sector 21,Gurgaon,7,Individual,Gurgaon,Hatchback,MG Comet,40
30036,CU02491,V06170,S011,C0076,AC,2025-08-06 18:17:00,2025-08-06 19:14:28.654653805,12,42,9.0,57.5,0.78,4,108.0,Debit Card,2025-08-06,18,Wednesday,August,0,1,30,Regular,Vasant Kunj,Delhi,4,Individual,Noida,Hatchback,Tata Tiago EV,30
22130,CU02690,V03549,S004,C0022,DC_FAST,2025-09-30 18:11:00,2025-09-30 18:27:59.374935758,50,79,14.5,17.0,0.49,3,290.0,UPI,2025-09-30,18,Tuesday,September,0,1,29,Regular,DLF Phase 3,Gurgaon,7,Individual,Noida,Sedan,MG5,50
29934,CU04167,V05029,S005,C0028,AC,2025-05-21 04:31:00,2025-05-21 06:42:24.368810737,32,100,20.4,131.4,0.57,3,244.8,Credit Card,2025-05-21,4,Wednesday,May,0,0,68,Regular,Rajouri Garden,Delhi,9,Individual,Noida,Hatchback,MG Comet,30
27829,CU01467,V05811,S005,C0028,AC,2025-07-10 09:30:00,2025-07-10 09:45:16.728807237,5,41,0.72,15.3,0.61,6,8.64,Credit Card,2025-07-10,9,Thursday,July,0,1,36,Regular,Rajouri Garden,Delhi,9,Individual,Ghaziabad,Two-Wheeler,Ather 450X,2
46694,CU00991,V05303,S013,C0087,DC_FAST,2025-10-25 23:51:00,2025-10-26 00:24:23.702765453,18,75,39.9,33.4,0.68,1,798.0,UPI,2025-10-25,23,Saturday,October,1,0,57,Regular,Indirapuram,Noida,8,Individual,Faridabad,SUV,Mahindra XUV400,70
45066,CU03401,V01610,S006,C0037,DC_FAST,2025-12-01 17:49:00,2025-12-01 18:14:03.834670374,32,81,19.6,25.1,0.83,6,392.0,UPI,2025-12-01,17,Monday,December,0,0,49,Regular,Karol Bagh,Delhi,9,Individual,Noida,Hatchback,MG Comet,40
23282,CU02480,V01534,S010,C0072,DC,2025-12-26 18:08:00,2025-12-26 18:39:46.819841215,33,85,26.0,31.8,0.78,5,416.0,Wallet,2025-12-26,18,Friday,December,0,1,52,Regular,Saket,Noida,7,Individual,Noida,Sedan,MG5,50
33921,CU03708,V00948,S005,C0026,AC,2025-12-22 09:42:00,2025-12-22 14:27:02.255463523,31,83,28.6,285.0,0.58,3,343.2,Debit Card,2025-12-22,9,Monday,December,0,1,52,Regular,Rajouri Garden,Delhi,9,Individual,Gurgaon,Sedan,BYD Seal,55
38598,CU00344,V07808,S017,C0109,DC,2025-09-19 14:15:00,2025-09-19 14:47:47.022085644,12,38,31.2,32.8,0.27,1,499.2,UPI,2025-09-19,14,Friday,September,0,0,26,Regular,Udyog Vihar,Delhi,5,Individual,Gurgaon,Commercial Van,Mahindra Treo,120
40992,CU02982,V04746,S010,C0070,AC,2025-11-04 12:02:00,2025-11-04 12:10:00.000000000,15,44,0.58,8.0,0.55,2,6.96,UPI,2025-11-04,12,Tuesday,November,0,0,29,Regular,Saket,Noida,7,Individual,Ghaziabad,Two-Wheeler,Ola S1,2
34802,CU00743,V03421,S003,C0016,DC_FAST,2025-12-13 03:39:00,2025-12-13 04:04:00.053107445,46,100,29.7,25.0,0.7,3,594.0,Credit Card,2025-12-13,3,Saturday,December,1,0,54,Regular,Sector 18,Noida,7,Individual,Ghaziabad,Sedan,BYD Seal,55
19948,CU01471,V07073,S020,C0131,DC_FAST,2025-11-01 19:08:00,2025-11-01 19:26:38.130564891,58,91,23.1,18.6,0.31,5,462.0,Debit Card,2025-11-01,19,Saturday,November,1,1,33,Regular,Sohna Road,Delhi,7,Individual,Gurgaon,SUV,Tata Nexon EV,70
18421,CU01935,V04834,S010,C0066,AC,2025-06-18 07:08:00,2025-06-18 09:22:16.743860939,33,55,13.2,134.3,0.53,2,158.4,Credit Card,2025-06-18,7,Wednesday,June,0,0,22,Regular,Saket,Noida,7,Individual,Ghaziabad,Commercial Van,Mahindra Treo,60
30031,CU03589,V04858,S017,C0113,DC,2025-08-24 18:32:00,2025-08-24 19:31:28.890923873,52,100,28.8,59.5,0.29,5,460.8,UPI,2025-08-24,18,Sunday,August,1,1,48,Regular,Udyog Vihar,Delhi,5,Individual,Delhi,Sedan,BYD Seal,60
27252,CU02315,V07247,S020,C0131,DC_FAST,2025-02-09 01:25:00,2025-02-09 01:52:28.574743592,14,64,17.5,27.5,0.57,3,350.0,Debit Card,2025-02-09,1,Sunday,February,1,0,50,Regular,Sohna Road,Delhi,7,Individual,Ghaziabad,Hatchback,Tata Tiago EV,35
58717,CU04352,V07244,S020,C0125,DC_FAST,2025-08-18 19:38:00,2025-08-18 20:13:29.518828570,50,91,49.2,35.5,0.39,2,984.0,UPI,2025-08-18,19,Monday,August,0,1,41,Regular,Sohna Road,Delhi,7,Fleet,Gurgaon,Commercial Van,Mahindra Treo,120
24620,CU01817,V01850,S017,C0113,DC,2025-12-22 16:48:00,2025-12-22 17:38:36.219230496,52,89,22.2,50.6,0.54,5,355.2,UPI,2025-12-22,16,Monday,December,0,0,37,Power User,Udyog Vihar,Delhi,5,Individual,Delhi,Sedan,BYD Seal,60
50617,CU00220,V06845,S007,C0050,DC,2025-04-01 09:02:00,2025-04-01 09:35:00.602300371,47,76,8.7,33.0,0.5,2,139.2,UPI,2025-04-01,9,Tuesday,April,0,1,29,Regular,MG Road,Delhi,9,Individual,Faridabad,Hatchback,Tata Tiago EV,30
21013,CU02110,V02846,S013,C0086,AC,2025-10-10 18:39:00,2025-10-10 19:03:52.596991757,23,71,1.44,24.9,0.43,4,17.28,Credit Card,2025-10-10,18,Friday,October,0,1,48,Regular,Indirapuram,Noida,8,Individual,Noida,Two-Wheeler,Ola S1,3
19525,CU01733,V06387,S005,C0029,AC,2025-08-14 17:15:00,2025-08-14 18:37:12.620880265,41,82,22.55,82.2,0.82,5,270.6,UPI,2025-08-14,17,Thursday,August,0,0,41,Regular,Rajouri Garden,Delhi,9,Fleet,Delhi,Sedan,MG5,55
59543,CU03470,V00420,S017,C0111,DC,2025-09-08 07:48:00,2025-09-08 08:19:36.538066185,40,100,24.0,31.6,0.58,4,384.0,Wallet,2025-09-08,7,Monday,September,0,0,60,Regular,Udyog Vihar,Delhi,5,Individual,Ghaziabad,Hatchback,MG Comet,40
53023,CU03877,V04517,S016,C0106,DC_FAST,2025-03-29 13:56:00,2025-03-29 14:04:00.000000000,12,39,0.54,8.0,0.78,2,10.8,Debit Card,2025-03-29,13,Saturday,March,1,0,27,Regular,Greater Kailash,Delhi,4,Individual,Faridabad,Two-Wheeler,Ola S1,2
50363,CU01616,V00058,S006,C0036,AC,2025-12-09 09:12:00,2025-12-09 10:14:20.871253712,12,68,16.8,62.3,0.68,4,201.6,UPI,2025-12-09,9,Tuesday,December,0,1,56,Regular,Karol Bagh,Delhi,9,Individual,Ghaziabad,Hatchback,MG Comet,30
54446,CU03975,V05263,S013,C0083,DC_FAST,2025-05-23 13:27:00,2025-05-23 13:38:58.735975998,52,100,33.6,12.0,0.51,1,672.0,Debit Card,2025-05-23,13,Friday,May,0,0,48,Regular,Indirapuram,Noida,8,Fleet,Gurgaon,SUV,Mahindra XUV400,70
69109,CU01404,V03413,S002,C0010,DC,2025-03-24 10:29:00,2025-03-24 11:02:17.199519970,53,81,19.2,33.3,0.58,4,336.0,UPI,2025-03-24,10,Monday,March,0,0,28,Regular,Cyber Hub,Ghaziabad,5,Individual,Noida,SUV,Hyundai Ioniq 5,75
37453,CU03044,V03936,S010,C0069,AC,2025-09-19 18:28:00,2025-09-19 21:18:51.092168640,22,65,25.8,170.9,0.62,2,309.6,UPI,2025-09-19,18,Friday,September,0,1,43,Regular,Saket,Noida,7,Individual,Noida,Sedan,BYD Seal,60
41411,CU01496,V06743,S007,C0051,AC,2025-10-19 11:46:00,2025-10-19 15:49:15.329951634,51,95,36.08,243.3,0.85,3,432.96,UPI,2025-10-19,11,Sunday,October,1,0,44,Regular,MG Road,Delhi,9,Individual,Ghaziabad,SUV,Tata Nexon EV,82
24398,CU04090,V02970,S006,C0038,DC_FAST,2025-05-03 08:08:00,2025-05-03 08:16:41.250308523,11,34,8.05,8.7,0.68,3,161.0,Debit Card,2025-05-03,8,Saturday,May,1,1,23,Regular,Karol Bagh,Delhi,9,Individual,Gurgaon,Hatchback,MG Comet,35
43219,CU02761,V00708,S016,C0107,DC,2025-08-17 21:59:00,2025-08-17 22:07:00.000000000,41,68,0.54,8.0,0.58,0,8.64,UPI,2025-08-17,21,Sunday,August,1,0,27,Regular,Greater Kailash,Delhi,4,Individual,Noida,Two-Wheeler,Ola S1,2
