station_id,date,electricity_consumed_kwh,electricity_cost_inr
S002,2025-02-04,137.24,1166.54
S002,2025-02-05,111.8,950.3
S002,2025-02-06,123.52,1049.92
S002,2025-02-07,25.36,215.56
S002,2025-02-08,71.41,606.98
S002,2025-02-09,81.69,694.36
S002,2025-02-10,177.09,1505.26
S002,2025-02-11,40.59,345.02
S002,2025-02-12,125.33,1065.3
S002,2025-02-13,105.08,893.18
S002,2025-02-14,92.88,789.48
S002,2025-02-15,136.81,1162.88
S002,2025-02-16,160.03,1360.26
S002,2025-02-18,64.63,549.36
S002,2025-02-19,102.95,875.08
S002,2025-02-20,120.52,1024.42
S002,2025-02-21,18.46,156.91
S002,2025-02-22,65.72,558.62
S002,2025-02-23,123.57,1050.34
S002,2025-02-24,119.19,1013.12
S002,2025-02-25,148.67,1263.7
S002,2025-02-26,84.44,717.74
S002,2025-02-27,155.42,1321.07
S002,2025-02-28,161.17,1369.94
S002,2025-03-01,30.75,261.38
S002,2025-03-02,4.64,39.44
S002,2025-03-03,29.61,251.68
S002,2025-03-04,162.74,1383.29
S002,2025-03-05,79.24,673.54
S002,2025-03-06,122.83,1044.06
S002,2025-03-07,48.66,413.61
S002,2025-03-08,107.22,911.37
S002,2025-03-09,114.15,970.28
S002,2025-03-10,35.31,300.14
S002,2025-03-11,180.73,1536.2
S002,2025-03-12,145.08,1233.18
S002,2025-03-13,122.57,1041.84
S002,2025-03-14,55.21,469.28
S002,2025-03-15,238.05,2023.43
S002,2025-03-16,115.12,978.52
S002,2025-03-17,150.54,1279.59
S002,2025-03-18,68.55,582.67
S002,2025-03-19,126.3,1073.55
S002,2025-03-21,73.46,624.41
S002,2025-03-22,264.85,2251.23
S002,2025-03-23,152.29,1294.46
S002,2025-03-24,162.62,1382.27
S002,2025-03-25,68.43,581.66
S002,2025-03-26,88.29,750.46
S002,2025-03-27,2.04,17.34
S002,2025-03-28,117.54,999.09
S002,2025-03-29,79.95,679.58
S002,2025-03-31,78.25,665.12
S002,2025-04-01,94.94,806.99
S002,2025-04-02,101.72,864.62
S002,2025-04-03,113.62,965.77
S002,2025-04-04,85.96,730.66
S002,2025-04-05,126.0,1071.0
S002,2025-04-06,128.98,1096.33
S002,2025-04-07,51.43,437.16
S002,2025-04-08,22.76,193.46
S002,2025-04-09,114.17,970.44
S002,2025-04-10,128.14,1089.19
S002,2025-04-11,189.82,1613.47
S002,2025-04-12,190.7,1620.95
S002,2025-04-13,71.43,607.16
S002,2025-04-14,21.3,181.05
S002,2025-04-15,116.52,990.42
S002,2025-04-16,47.01,399.58
S002,2025-04-17,232.15,1973.28
S002,2025-04-18,66.07,561.59
S002,2025-04-19,146.93,1248.9
S002,2025-04-20,66.58,565.93
S002,2025-04-21,77.36,657.56
S002,2025-04-22,185.08,1573.18
S002,2025-04-23,104.53,888.5
S002,2025-04-24,82.04,697.34
S002,2025-04-25,49.36,419.56
S002,2025-04-26,225.71,1918.54
S002,2025-04-27,42.7,362.95
S002,2025-04-28,86.38,734.23
S002,2025-04-29,83.91,713.24
S002,2025-04-30,127.06,1080.01
S002,2025-05-01,205.11,1743.44
S002,2025-05-02,39.8,338.3
S002,2025-05-03,152.2,1293.7
S002,2025-05-04,174.34,1481.89
S002,2025-05-05,184.45,1567.82
S002,2025-05-06,179.95,1529.57
S002,2025-05-07,164.27,1396.3
S002,2025-05-08,195.29,1659.96
S002,2025-05-09,184.67,1569.7
S002,2025-05-10,27.39,232.82
S002,2025-05-11,163.29,1387.96
S002,2025-05-12,107.73,915.7
S002,2025-05-13,153.71,1306.54
S002,2025-05-14,144.24,1226.04
S002,2025-05-15,112.79,958.72
S002,2025-05-16,84.36,717.06
S002,2025-05-17,61.64,523.94
S002,2025-05-18,167.63,1424.86
S002,2025-05-19,283.97,2413.75
S002,2025-05-20,117.11,995.44
S002,2025-05-21,168.15,1429.28
S002,2025-05-22,109.36,929.56
S002,2025-05-23,332.38,2825.23
S002,2025-05-24,120.23,1021.96
S002,2025-05-25,140.18,1191.53
S002,2025-05-26,174.88,1486.48
S002,2025-05-27,43.23,367.46
S002,2025-05-28,123.54,1050.09
S002,2025-05-29,162.54,1381.59
S002,2025-05-30,242.41,2060.48
S002,2025-05-31,78.43,666.66
S002,2025-06-01,252.87,2149.4
S002,2025-06-02,219.2,1863.2
S002,2025-06-03,137.8,1171.3
S002,2025-06-04,91.6,778.6
S002,2025-06-05,183.1,1556.35
S002,2025-06-06,89.39,759.82
S002,2025-06-07,50.15,426.28
S002,2025-06-08,214.59,1824.02
S002,2025-06-09,274.64,2334.44
S002,2025-06-10,103.78,882.13
S002,2025-06-11,120.81,1026.88
S002,2025-06-12,292.0,2482.0
S002,2025-06-13,156.55,1330.68
S002,2025-06-14,69.91,594.24
S002,2025-06-15,130.53,1109.51
S002,2025-06-16,160.53,1364.5
S002,2025-06-17,205.4,1745.9
S002,2025-06-18,147.52,1253.92
S002,2025-06-19,112.15,953.28
S002,2025-06-20,62.96,535.16
S002,2025-06-21,85.87,729.9
S002,2025-06-22,226.51,1925.34
S002,2025-06-23,175.64,1492.94
S002,2025-06-24,185.16,1573.86
S002,2025-06-25,133.21,1132.29
S002,2025-06-26,205.99,1750.92
S002,2025-06-27,107.16,910.86
S002,2025-06-28,123.21,1047.28
S002,2025-06-29,95.11,808.44
S002,2025-06-30,268.71,2284.04
S002,2025-07-01,181.82,1545.47
S002,2025-07-02,52.22,443.87
S002,2025-07-03,139.68,1187.28
S002,2025-07-04,138.07,1173.6
S002,2025-07-05,84.64,719.44
S002,2025-07-06,145.36,1235.56
S002,2025-07-07,169.61,1441.69
S002,2025-07-08,38.23,324.96
S002,2025-07-09,145.22,1234.37
S002,2025-07-10,115.75,983.88
S002,2025-07-11,154.08,1309.68
S002,2025-07-12,302.24,2569.04
S002,2025-07-13,218.15,1854.28
S002,2025-07-14,112.58,956.93
S002,2025-07-15,83.43,709.16
S002,2025-07-16,148.45,1261.82
S002,2025-07-17,146.8,1247.8
S002,2025-07-18,209.08,1777.18
S002,2025-07-19,144.43,1227.66
S002,2025-07-20,82.21,698.78
S002,2025-07-21,104.24,886.04
S002,2025-07-22,232.57,1976.84
S002,2025-07-23,66.26,563.21
S002,2025-07-24,143.01,1215.58
S002,2025-07-25,98.09,833.76
S002,2025-07-26,386.8,3287.8
S002,2025-07-27,134.25,1141.12
S002,2025-07-28,69.12,587.52
S002,2025-07-29,125.38,1065.73
S002,2025-07-30,171.31,1456.14
S002,2025-07-31,48.95,416.08
S002,2025-08-01,160.67,1365.7
S002,2025-08-02,92.74,788.29
S002,2025-08-03,128.44,1091.74
S002,2025-08-04,104.8,890.8
S002,2025-08-05,80.43,683.66
S002,2025-08-06,249.57,2121.34
S002,2025-08-07,104.59,889.02
S002,2025-08-08,82.59,702.02
S002,2025-08-09,75.96,645.66
S002,2025-08-10,162.7,1382.95
S002,2025-08-11,196.31,1668.64
S002,2025-08-12,262.46,2230.91
S002,2025-08-13,273.58,2325.43
S002,2025-08-14,244.45,2077.82
S002,2025-08-15,219.05,1861.93
S002,2025-08-16,213.15,1811.78
S002,2025-08-17,209.41,1779.98
S002,2025-08-18,191.9,1631.15
S002,2025-08-19,141.97,1206.74
S002,2025-08-20,270.35,2297.98
S002,2025-08-21,107.15,910.78
S002,2025-08-22,121.79,1035.22
S002,2025-08-23,44.86,381.31
S002,2025-08-24,55.12,468.52
S002,2025-08-25,207.35,1762.48
S002,2025-08-26,90.51,769.34
S002,2025-08-27,135.43,1151.16
S002,2025-08-28,70.46,598.91
S002,2025-08-29,234.95,1997.07
S002,2025-08-30,60.35,512.98
S002,2025-08-31,19.55,166.18
S002,2025-09-01,159.21,1353.28
S002,2025-09-02,106.34,903.89
S002,2025-09-03,84.59,719.02
S002,2025-09-04,233.24,1982.54
S002,2025-09-05,42.35,359.98
S002,2025-09-06,117.56,999.26
S002,2025-09-07,171.4,1456.9
S002,2025-09-08,117.32,997.22
S002,2025-09-09,190.48,1619.08
S002,2025-09-10,97.93,832.41
S002,2025-09-11,260.09,2210.76
S002,2025-09-12,68.09,578.76
S002,2025-09-13,159.22,1353.37
S002,2025-09-14,114.26,971.21
S002,2025-09-15,118.14,1004.19
S002,2025-09-16,355.88,3024.98
S002,2025-09-17,161.85,1375.72
S002,2025-09-18,171.52,1457.92
S002,2025-09-19,251.62,2138.77
S002,2025-09-20,185.28,1574.88
S002,2025-09-21,259.9,2209.15
S002,2025-09-22,70.34,597.89
S002,2025-09-23,436.46,3709.91
S002,2025-09-24,153.42,1304.07
S002,2025-09-25,103.83,882.56
S002,2025-09-26,190.5,1619.25
S002,2025-09-27,184.1,1564.85
S002,2025-09-28,268.75,2284.38
S002,2025-09-29,213.18,1812.03
S002,2025-09-30,143.87,1222.9
S002,2025-10-01,183.89,1563.06
S002,2025-10-02,80.36,683.06
S002,2025-10-03,156.82,1332.97
S002,2025-10-04,192.22,1633.87
S002,2025-10-05,65.19,554.12
S002,2025-10-06,145.21,1234.29
S002,2025-10-07,35.8,304.3
S002,2025-10-08,229.3,1949.05
S002,2025-10-09,187.99,1597.92
S002,2025-10-10,325.0,2762.5
S002,2025-10-11,142.55,1211.68
S002,2025-10-12,145.1,1233.35
S002,2025-10-13,187.66,1595.11
S002,2025-10-14,291.21,2475.28
S002,2025-10-15,140.95,1198.07
S002,2025-10-16,61.76,524.96
S002,2025-10-17,313.0,2660.5
S002,2025-10-18,63.91,543.24
S002,2025-10-19,102.41,870.48
S002,2025-10-20,302.2,2568.7
S002,2025-10-21,138.35,1175.97
S002,2025-10-22,139.95,1189.57
S002,2025-10-23,124.26,1056.21
S002,2025-10-24,273.62,2325.77
S002,2025-10-25,97.32,827.22
S002,2025-10-26,129.48,1100.58
S002,2025-10-27,80.86,687.31
S002,2025-10-28,50.92,432.82
S002,2025-10-29,86.37,734.14
S002,2025-10-30,123.16,1046.86
S002,2025-10-31,102.93,874.91
S002,2025-11-01,265.31,2255.14
S002,2025-11-02,105.37,895.64
S002,2025-11-03,146.87,1248.4
S002,2025-11-04,213.93,1818.4
S002,2025-11-05,151.38,1286.73
S002,2025-11-06,52.78,448.63
S002,2025-11-07,48.76,414.46
S002,2025-11-08,113.88,967.98
S002,2025-11-09,100.21,851.78
S002,2025-11-10,164.02,1394.17
S002,2025-11-11,346.99,2949.42
S002,2025-11-12,245.45,2086.32
S002,2025-11-13,250.96,2133.16
S002,2025-11-14,256.31,2178.64
S002,2025-11-15,191.44,1627.24
S002,2025-11-16,79.6,676.6
S002,2025-11-17,211.17,1794.94
S002,2025-11-18,153.31,1303.14
S002,2025-11-19,265.59,2257.52
S002,2025-11-20,69.37,589.64
S002,2025-11-21,204.33,1736.8
S002,2025-11-22,171.65,1459.02
S002,2025-11-23,166.31,1413.64
S002,2025-11-24,227.93,1937.4
S002,2025-11-25,280.11,2380.94
S002,2025-11-26,296.1,2516.85
S002,2025-11-27,222.2,1888.7
S002,2025-11-28,101.05,858.92
S002,2025-11-29,87.69,745.36
S002,2025-11-30,182.99,1555.42
S002,2025-12-01,110.38,938.23
S002,2025-12-02,244.38,2077.23
S002,2025-12-03,286.96,2439.16
S002,2025-12-04,80.15,681.28
S002,2025-12-05,307.52,2613.92
S002,2025-12-06,195.13,1658.6
S002,2025-12-07,219.95,1869.57
S002,2025-12-08,136.11,1156.94
S002,2025-12-09,204.29,1736.46
S002,2025-12-10,153.53,1305.01
S002,2025-12-11,359.59,3056.52
S002,2025-12-12,249.69,2122.36
S002,2025-12-13,199.77,1698.04
S002,2025-12-14,202.7,1722.95
S002,2025-12-15,235.34,2000.39
S002,2025-12-16,168.15,1429.28
S002,2025-12-17,206.51,1755.34
S002,2025-12-18,366.27,3113.3
S002,2025-12-19,270.44,2298.74
S002,2025-12-20,262.56,2231.76
S002,2025-12-21,50.21,426.78
S002,2025-12-22,133.72,1136.62
S002,2025-12-23,234.22,1990.87
S002,2025-12-24,206.3,1753.55
S002,2025-12-25,328.52,2792.42
S002,2025-12-26,25.98,220.83
S002,2025-12-27,140.41,1193.48
S002,2025-12-28,218.29,1855.46
S002,2025-12-29,173.09,1471.26
S002,2025-12-30,303.37,2578.64
S002,2025-12-31,125.57,1067.34
S003,2025-01-01,192.61,1637.19
S003,2025-01-02,47.74,405.79
S003,2025-01-03,30.57,259.85
S003,2025-01-04,105.78,899.13
S003,2025-01-05,170.62,1450.27
S003,2025-01-06,189.15,1607.78
S003,2025-01-07,192.09,1632.76
S003,2025-01-08,168.86,1435.31
S003,2025-01-09,182.95,1555.07
S003,2025-01-10,144.59,1229.02
S003,2025-01-11,152.63,1297.36
S003,2025-01-12,188.72,1604.12
S003,2025-01-13,198.12,1684.02
S003,2025-01-14,46.07,391.6
S003,2025-01-15,109.83,933.56
S003,2025-01-16,261.43,2222.16
S003,2025-01-17,46.37,394.14
S003,2025-01-18,170.24,1447.04
S003,2025-01-19,103.79,882.22
S003,2025-01-20,142.99,1215.42
