queue_id,station_id,date,hour,vehicles_waiting,avg_wait_time_minutes
52,S001,2025-05-16,9,6,20.1
53,S001,2025-05-16,12,3,22.7
54,S001,2025-05-16,15,4,21.7
55,S001,2025-05-16,18,6,27.7
56,S001,2025-05-16,21,2,15.6
57,S001,2025-02-23,0,0,14.0
58,S001,2025-02-23,3,0,0.0
59,S001,2025-02-23,6,3,14.8
60,S001,2025-02-23,9,8,22.3
61,S001,2025-02-23,12,0,18.8
62,S001,2025-02-23,15,8,20.6
63,S001,2025-02-23,18,7,25.7
64,S001,2025-02-23,21,0,9.7
65,S001,2025-03-21,0,2,2.7
66,S001,2025-03-21,3,3,9.4
67,S001,2025-03-21,6,1,15.6
68,S001,2025-03-21,9,10,22.5
69,S001,2025-03-21,12,2,18.0
70,S001,2025-03-21,15,1,25.7
71,S001,2025-03-21,18,7,31.3
72,S001,2025-03-21,21,4,25.4
73,S001,2025-12-17,0,4,4.2
74,S001,2025-12-17,3,0,2.4
75,S001,2025-12-17,6,1,13.5
76,S001,2025-12-17,9,7,23.4
77,S001,2025-12-17,12,6,18.5
78,S001,2025-12-17,15,7,20.1
79,S001,2025-12-17,18,2,25.5
80,S001,2025-12-17,21,5,13.8
81,S001,2025-07-25,0,0,2.8
82,S001,2025-07-25,3,0,3.0
83,S001,2025-07-25,6,6,16.1
84,S001,2025-07-25,9,2,29.8
85,S001,2025-07-25,12,2,18.8
86,S001,2025-07-25,15,6,23.6
87,S001,2025-07-25,18,2,30.5
88,S001,2025-07-25,21,2,23.1
89,S001,2025-03-17,0,0,8.9
90,S001,2025-03-17,3,0,8.4
91,S001,2025-03-17,6,4,13.8
92,S001,2025-03-17,9,6,30.4
93,S001,2025-03-17,12,1,18.5
94,S001,2025-03-17,15,2,22.6
95,S001,2025-03-17,18,5,32.5
96,S001,2025-03-17,21,2,16.4
97,S001,2025-09-24,0,2,13.1
98,S001,2025-09-24,3,0,10.5
99,S001,2025-09-24,6,3,9.5
100,S001,2025-09-24,9,9,24.3
101,S001,2025-09-24,12,0,23.0
102,S001,2025-09-24,15,3,20.2
103,S001,2025-09-24,18,5,31.9
104,S001,2025-09-24,21,2,12.1
105,S001,2025-05-04,0,1,8.4
106,S001,2025-05-04,3,0,3.8
107,S001,2025-05-04,6,3,16.8
108,S001,2025-05-04,9,6,23.0
109,S001,2025-05-04,12,4,11.2
110,S001,2025-05-04,15,1,18.2
111,S001,2025-05-04,18,5,29.8
112,S001,2025-05-04,21,5,17.4
113,S001,2025-08-06,0,2,9.0
114,S001,2025-08-06,3,3,11.6
115,S001,2025-08-06,6,3,11.1
116,S001,2025-08-06,9,5,24.4
117,S001,2025-08-06,12,3,17.2
118,S001,2025-08-06,15,4,21.0
119,S001,2025-08-06,18,11,33.4
120,S001,2025-08-06,21,3,22.5
121,S001,2025-09-20,0,1,9.2
122,S001,2025-09-20,3,1,9.9
123,S001,2025-09-20,6,3,12.2
124,S001,2025-09-20,9,8,32.5
125,S001,2025-09-20,12,3,24.7
126,S001,2025-09-20,15,4,20.1
127,S001,2025-09-20,18,7,27.7
128,S001,2025-09-20,21,3,13.4
129,S001,2025-04-06,0,0,9.0
130,S001,2025-04-06,3,0,8.7
131,S001,2025-04-06,6,3,10.9
132,S001,2025-04-06,9,9,30.6
133,S001,2025-04-06,12,2,11.7
134,S001,2025-04-06,15,5,22.4
135,S001,2025-04-06,18,8,37.6
136,S001,2025-04-06,21,1,21.0
137,S001,2025-05-30,0,0,6.6
138,S001,2025-05-30,3,2,3.9
139,S001,2025-05-30,6,2,12.6
140,S001,2025-05-30,9,7,23.7
141,S001,2025-05-30,12,2,13.6
142,S001,2025-05-30,15,3,17.8
143,S001,2025-05-30,18,3,26.4
144,S001,2025-05-30,21,4,25.4
145,S001,2025-01-29,0,2,6.5
146,S001,2025-01-29,3,1,4.3
147,S001,2025-01-29,6,1,15.7
148,S001,2025-01-29,9,2,30.5
149,S001,2025-01-29,12,3,17.1
150,S001,2025-01-29,15,5,15.9
151,S001,2025-01-29,18,3,26.4
152,S001,2025-01-29,21,4,31.0
153,S001,2025-01-12,0,2,11.2
154,S001,2025-01-12,3,0,8.5
155,S001,2025-01-12,6,2,13.2
156,S001,2025-01-12,9,7,30.0
157,S001,2025-01-12,12,2,17.3
158,S001,2025-01-12,15,4,17.9
159,S001,2025-01-12,18,6,34.4
160,S001,2025-01-12,21,3,12.0
161,S001,2025-02-27,0,2,15.5
162,S001,2025-02-27,3,1,7.9
163,S001,2025-02-27,6,2,15.2
164,S001,2025-02-27,9,4,25.2
165,S001,2025-02-27,12,3,22.1
166,S001,2025-02-27,15,2,24.4
167,S001,2025-02-27,18,8,28.5
168,S001,2025-02-27,21,5,15.5
169,S001,2025-08-30,0,0,7.7
170,S001,2025-08-30,3,1,6.5
171,S001,2025-08-30,6,3,8.1
172,S001,2025-08-30,9,6,22.7
173,S001,2025-08-30,12,6,16.1
174,S001,2025-08-30,15,6,23.0
175,S001,2025-08-30,18,4,37.0
176,S001,2025-08-30,21,1,20.4
177,S001,2025-11-22,0,4,13.9
178,S001,2025-11-22,3,0,8.6
179,S001,2025-11-22,6,4,13.7
180,S001,2025-11-22,9,6,41.0
181,S001,2025-11-22,12,4,12.0
182,S001,2025-11-22,15,4,20.6
183,S001,2025-11-22,18,6,32.1
184,S001,2025-11-22,21,5,15.7
185,S001,2025-01-03,0,0,8.3
186,S001,2025-01-03,3,0,7.8
187,S001,2025-01-03,6,3,8.7
188,S001,2025-01-03,9,5,25.1
189,S001,2025-01-03,12,4,19.6
190,S001,2025-01-03,15,6,21.1
191,S001,2025-01-03,18,4,32.8
192,S001,2025-01-03,21,4,19.9
193,S001,2025-02-09,0,3,8.5
194,S001,2025-02-09,3,0,1.9
195,S001,2025-02-09,6,2,14.8
196,S001,2025-02-09,9,5,26.8
197,S001,2025-02-09,12,0,20.0
198,S001,2025-02-09,15,2,20.6
199,S001,2025-02-09,18,3,34.5
200,S001,2025-02-09,21,0,22.3
201,S001,2025-07-29,0,0,7.2
202,S001,2025-07-29,3,0,2.5
203,S001,2025-07-29,6,3,12.4
204,S001,2025-07-29,9,3,31.2
205,S001,2025-07-29,12,2,14.5
206,S001,2025-07-29,15,4,23.6
207,S001,2025-07-29,18,5,33.6
208,S001,2025-07-29,21,5,16.3
209,S001,2025-10-19,0,1,10.7
210,S001,2025-10-19,3,0,7.7
211,S001,2025-10-19,6,1,16.1
212,S001,2025-10-19,9,4,28.5
213,S001,2025-10-19,12,2,12.5
214,S001,2025-10-19,15,6,24.2
215,S001,2025-10-19,18,9,30.6
216,S001,2025-10-19,21,1,18.3
217,S001,2025-06-08,0,1,2.3
218,S001,2025-06-08,3,2,3.3
219,S001,2025-06-08,6,1,15.2
220,S001,2025-06-08,9,7,30.3
221,S001,2025-06-08,12,2,12.7
222,S001,2025-06-08,15,9,22.2
223,S001,2025-06-08,18,8,32.4
224,S001,2025-06-08,21,1,12.7
225,S001,2025-04-17,0,0,9.4
226,S001,2025-04-17,3,2,2.8
227,S001,2025-04-17,6,0,10.6
228,S001,2025-04-17,9,6,23.9
229,S001,2025-04-17,12,5,22.0
230,S001,2025-04-17,15,3,19.9
231,S001,2025-04-17,18,4,32.8
232,S001,2025-04-17,21,4,16.4
233,S001,2025-04-14,0,0,7.1
234,S001,2025-04-14,3,0,6.7
235,S001,2025-04-14,6,3,15.5
236,S001,2025-04-14,9,3,27.2
237,S001,2025-04-14,12,2,14.5
238,S001,2025-04-14,15,2,17.9
239,S001,2025-04-14,18,8,30.2
240,S001,2025-04-14,21,3,15.3
241,S001,2025-04-12,0,0,5.9
242,S001,2025-04-12,3,1,14.5
243,S001,2025-04-12,6,1,13.4
244,S001,2025-04-12,9,8,24.2
245,S001,2025-04-12,12,2,10.7
246,S001,2025-04-12,15,2,21.4
247,S001,2025-04-12,18,7,31.7
248,S001,2025-04-12,21,4,17.2
249,S001,2025-01-05,0,1,8.1
250,S001,2025-01-05,3,1,10.8
251,S001,2025-01-05,6,1,12.1
252,S001,2025-01-05,9,13,25.5
253,S001,2025-01-05,12,2,17.4
254,S001,2025-01-05,15,4,27.7
255,S001,2025-01-05,18,7,32.0
256,S001,2025-01-05,21,5,17.7
257,S001,2025-12-08,0,0,5.3
258,S001,2025-12-08,3,0,4.4
259,S001,2025-12-08,6,4,12.1
260,S001,2025-12-08,9,5,27.1
261,S001,2025-12-08,12,2,15.2
262,S001,2025-12-08,15,3,15.2
263,S001,2025-12-08,18,5,25.4
264,S001,2025-12-08,21,0,18.8
265,S001,2025-01-08,0,0,5.5
266,S001,2025-01-08,3,0,7.5
267,S001,2025-01-08,6,5,16.3
268,S001,2025-01-08,9,11,25.7
269,S001,2025-01-08,12,1,24.1
270,S001,2025-01-08,15,3,15.9
271,S001,2025-01-08,18,10,30.1
272,S001,2025-01-08,21,4,24.4
273,S001,2025-10-22,0,0,11.6
274,S001,2025-10-22,3,0,5.7
275,S001,2025-10-22,6,1,17.5
276,S001,2025-10-22,9,4,30.6
277,S001,2025-10-22,12,2,23.3
278,S001,2025-10-22,15,3,21.3
279,S001,2025-10-22,18,3,23.9
280,S001,2025-10-22,21,2,20.9
281,S001,2025-09-03,0,0,12.5
282,S001,2025-09-03,3,1,7.2
283,S001,2025-09-03,6,0,12.4
284,S001,2025-09-03,9,4,21.6
285,S001,2025-09-03,12,3,16.0
286,S001,2025-09-03,15,6,10.6
287,S001,2025-09-03,18,3,26.4
288,S001,2025-09-03,21,2,13.4
289,S001,2025-02-03,0,0,11.3
290,S001,2025-02-03,3,2,0.2
291,S001,2025-02-03,6,5,13.0
292,S001,2025-02-03,9,8,29.5
293,S001,2025-02-03,12,4,19.0
294,S001,2025-02-03,15,2,22.4
295,S001,2025-02-03,18,2,32.6
296,S001,2025-02-03,21,5,15.6
297,S001,2025-11-06,0,1,8.8
298,S001,2025-11-06,3,0,8.7
299,S001,2025-11-06,6,3,16.0
300,S001,2025-11-06,9,8,33.2
301,S001,2025-11-06,12,0,9.8
302,S001,2025-11-06,15,4,15.2
303,S001,2025-11-06,18,9,32.4
304,S001,2025-11-06,21,4,16.6
305,S001,2025-06-06,0,0,12.1
306,S001,2025-06-06,3,0,12.2
307,S001,2025-06-06,6,1,16.8
308,S001,2025-06-06,9,9,30.6
309,S001,2025-06-06,12,2,11.9
310,S001,2025-06-06,15,4,23.4
311,S001,2025-06-06,18,6,35.9
312,S001,2025-06-06,21,1,13.5
313,S001,2025-08-08,0,0,0.5
314,S001,2025-08-08,3,0,13.6
315,S001,2025-08-08,6,4,8.0
316,S001,2025-08-08,9,5,29.8
317,S001,2025-08-08,12,3,20.9
318,S001,2025-08-08,15,5,9.8
319,S001,2025-08-08,18,10,34.7
320,S001,2025-08-08,21,5,6.6
321,S001,2025-08-26,0,1,7.5
322,S001,2025-08-26,3,2,6.6
323,S001,2025-08-26,6,3,17.1
324,S001,2025-08-26,9,5,26.6
325,S001,2025-08-26,12,4,21.7
326,S001,2025-08-26,15,6,17.2
327,S001,2025-08-26,18,5,30.1
328,S001,2025-08-26,21,4,14.2
329,S001,2025-06-17,0,0,9.9
330,S001,2025-06-17,3,1,6.4
331,S001,2025-06-17,6,0,14.9
332,S001,2025-06-17,9,9,35.6
333,S001,2025-06-17,12,1,12.8
334,S001,2025-06-17,15,2,21.6
335,S001,2025-06-17,18,9,31.8
336,S001,2025-06-17,21,0,17.7
337,S001,2025-03-31,0,2,0.0
338,S001,2025-03-31,3,1,4.1
339,S001,2025-03-31,6,5,24.6
340,S001,2025-03-31,9,8,26.8
341,S001,2025-03-31,12,1,13.9
342,S001,2025-03-31,15,1,20.0
343,S001,2025-03-31,18,4,29.9
344,S001,2025-03-31,21,1,19.1
345,S001,2025-10-15,0,1,11.9
346,S001,2025-10-15,3,1,5.6
347,S001,2025-10-15,6,2,12.4
348,S001,2025-10-15,9,8,28.7
349,S001,2025-10-15,12,1,11.7
350,S001,2025-10-15,15,3,18.8
351,S001,2025-10-15,18,6,25.4
352,S001,2025-10-15,21,2,16.3
353,S001,2025-06-25,0,0,15.9
354,S001,2025-06-25,3,0,1.6
355,S001,2025-06-25,6,2,12.1
356,S001,2025-06-25,9,5,30.4
357,S001,2025-06-25,12,2,21.8
358,S001,2025-06-25,15,2,24.8
359,S001,2025-06-25,18,7,30.6
360,S001,2025-06-25,21,2,16.1
361,S001,2025-09-16,0,0,1.9
362,S001,2025-09-16,3,0,7.1
363,S001,2025-09-16,6,1,8.9
364,S001,2025-09-16,9,5,18.6
365,S001,2025-09-16,12,1,6.5
366,S001,2025-09-16,15,3,17.0
367,S001,2025-09-16,18,8,28.0
368,S001,2025-09-16,21,4,24.3
369,S001,2025-03-08,0,1,8.7
370,S001,2025-03-08,3,2,2.0
371,S001,2025-03-08,6,2,16.7
372,S001,2025-03-08,9,10,31.6
373,S001,2025-03-08,12,3,15.8
374,S001,2025-03-08,15,7,18.7
375,S001,2025-03-08,18,1,24.0
376,S001,2025-03-08,21,2,12.2
377,S001,2025-01-25,0,0,7.0
378,S001,2025-01-25,3,3,13.4
379,S001,2025-01-25,6,2,17.7
380,S001,2025-01-25,9,7,34.1
381,S001,2025-01-25,12,0,18.2
382,S001,2025-01-25,15,4,20.4
383,S001,2025-01-25,18,6,27.4
384,S001,2025-01-25,21,3,17.6
385,S001,2025-01-15,0,0,8.8
386,S001,2025-01-15,3,3,1.6
387,S001,2025-01-15,6,4,16.0
388,S001,2025-01-15,9,6,21.7
389,S001,2025-01-15,12,2,20.1
390,S001,2025-01-15,15,5,20.1
391,S001,2025-01-15,18,2,27.1
392,S001,2025-01-15,21,2,20.9
393,S001,2025-12-11,0,0,2.5
394,S001,2025-12-11,3,0,3.9
395,S001,2025-12-11,6,0,20.7
396,S001,2025-12-11,9,5,24.3
397,S001,2025-12-11,12,3,24.5
398,S001,2025-12-11,15,2,19.6
399,S001,2025-12-11,18,7,26.4
400,S001,2025-12-11,21,4,16.4
401,S001,2025-06-26,0,1,10.1
402,S001,2025-06-26,3,1,4.8
403,S001,2025-06-26,6,2,15.6
404,S001,2025-06-26,9,2,28.0
405,S001,2025-06-26,12,4,18.9
406,S001,2025-06-26,15,3,20.5
407,S001,2025-06-26,18,5,20.7
408,S001,2025-06-26,21,3,19.7
409,S001,2025-04-02,0,0,7.2
410,S001,2025-04-02,3,0,7.2
411,S001,2025-04-02,6,5,15.1
412,S001,2025-04-02,9,3,27.2
413,S001,2025-04-02,12,3,14.3
414,S001,2025-04-02,15,4,17.8
415,S001,2025-04-02,18,4,24.8
416,S001,2025-04-02,21,1,11.9
417,S001,2025-01-26,0,0,15.6
418,S001,2025-01-26,3,0,4.3
419,S001,2025-01-26,6,5,16.2
420,S001,2025-01-26,9,3,26.5
421,S001,2025-01-26,12,1,22.0
422,S001,2025-01-26,15,4,23.8
423,S001,2025-01-26,18,9,29.9
424,S001,2025-01-26,21,3,13.8
425,S001,2025-01-31,0,1,10.2
426,S001,2025-01-31,3,1,2.8
427,S001,2025-01-31,6,2,14.7
428,S001,2025-01-31,9,7,27.3
429,S001,2025-01-31,12,5,17.0
430,S001,2025-01-31,15,3,20.2
431,S001,2025-01-31,18,3,32.6
432,S001,2025-01-31,21,2,20.1
433,S001,2025-01-23,0,0,13.8
434,S001,2025-01-23,3,0,1.8
435,S001,2025-01-23,6,2,21.1
436,S001,2025-01-23,9,3,29.3
437,S001,2025-01-23,12,5,16.3
438,S001,2025-01-23,15,2,18.2
439,S001,2025-01-23,18,7,36.5
440,S001,2025-01-23,21,2,13.6
441,S001,2025-01-16,0,1,0.4
442,S001,2025-01-16,3,1,8.4
443,S001,2025-01-16,6,4,12.4
444,S001,2025-01-16,9,4,32.8
445,S001,2025-01-16,12,2,17.8
446,S001,2025-01-16,15,4,19.5
447,S001,2025-01-16,18,5,26.9
448,S001,2025-01-16,21,3,14.4
449,S001,2025-10-05,0,1,1.5
450,S001,2025-10-05,3,0,16.1
451,S001,2025-10-05,6,1,13.5
452,S001,2025-10-05,9,9,26.9
453,S001,2025-10-05,12,6,19.5
454,S001,2025-10-05,15,4,22.7
455,S001,2025-10-05,18,9,36.3
456,S001,2025-10-05,21,4,24.0
457,S001,2025-01-09,0,1,17.6
458,S001,2025-01-09,3,0,18.4
459,S001,2025-01-09,6,6,16.2
460,S001,2025-01-09,9,3,24.7
461,S001,2025-01-09,12,2,18.1
462,S001,2025-01-09,15,8,16.7
463,S001,2025-01-09,18,9,31.7
464,S001,2025-01-09,21,3,16.4
465,S001,2025-05-20,0,0,8.4
466,S001,2025-05-20,3,1,16.2
467,S001,2025-05-20,6,0,15.2
468,S001,2025-05-20,9,5,28.5
469,S001,2025-05-20,12,8,15.6
470,S001,2025-05-20,15,1,23.1
471,S001,2025-05-20,18,3,27.8
472,S001,2025-05-20,21,5,23.6
473,S001,2025-02-01,0,0,6.2
474,S001,2025-02-01,3,0,9.4
475,S001,2025-02-01,6,1,12.2
476,S001,2025-02-01,9,7,16.6
477,S001,2025-02-01,12,1,18.7
478,S001,2025-02-01,15,3,25.3
479,S001,2025-02-01,18,6,30.3
480,S001,2025-02-01,21,3,13.7
481,S001,2025-08-31,0,0,9.6
482,S001,2025-08-31,3,0,5.4
483,S001,2025-08-31,6,3,21.0
484,S001,2025-08-31,9,3,29.2
485,S001,2025-08-31,12,4,19.9
486,S001,2025-08-31,15,3,14.0
487,S001,2025-08-31,18,6,28.9
488,S001,2025-08-31,21,3,17.4
489,S001,2025-04-29,0,0,0.0
490,S001,2025-04-29,3,0,7.1
491,S001,2025-04-29,6,3,17.6
492,S001,2025-04-29,9,5,32.7
493,S001,2025-04-29,12,4,17.9
494,S001,2025-04-29,15,4,19.2
495,S001,2025-04-29,18,5,30.7
496,S001,2025-04-29,21,5,22.3
497,S001,2025-06-15,0,0,5.3
498,S001,2025-06-15,3,0,5.7
499,S001,2025-06-15,6,2,13.1
500,S001,2025-06-15,9,7,28.0
501,S001,2025-06-15,12,5,15.5
502,S001,2025-06-15,15,4,20.0
503,S001,2025-06-15,18,4,28.5
504,S001,2025-06-15,21,3,23.6
505,S001,2025-12-30,0,0,6.2
506,S001,2025-12-30,3,1,2.9
507,S001,2025-12-30,6,5,14.0
508,S001,2025-12-30,9,8,29.3
509,S001,2025-12-30,12,1,13.7
510,S001,2025-12-30,15,7,20.8
511,S001,2025-12-30,18,4,26.5
512,S001,2025-12-30,21,3,11.9
513,S001,2025-05-12,0,0,1.5
514,S001,2025-05-12,3,4,11.8
515,S001,2025-05-12,6,1,9.8
516,S001,2025-05-12,9,3,25.9
517,S001,2025-05-12,12,5,19.0
518,S001,2025-05-12,15,6,19.3
519,S001,2025-05-12,18,4,41.3
520,S001,2025-05-12,21,4,19.4
521,S001,2025-06-04,0,0,0.0
522,S001,2025-06-04,3,0,5.4
523,S001,2025-06-04,6,1,11.9
524,S001,2025-06-04,9,3,31.4
525,S001,2025-06-04,12,4,12.3
526,S001,2025-06-04,15,3,15.6
527,S001,2025-06-04,18,5,29.1
528,S001,2025-06-04,21,6,18.3
529,S001,2025-06-13,0,0,6.2
530,S001,2025-06-13,3,0,6.9
531,S001,2025-06-13,6,4,13.0
532,S001,2025-06-13,9,9,25.9
533,S001,2025-06-13,12,5,19.9
534,S001,2025-06-13,15,7,21.7
535,S001,2025-06-13,18,5,30.4
536,S001,2025-06-13,21,1,16.8
537,S001,2025-01-24,0,1,0.0
538,S001,2025-01-24,3,0,2.0
539,S001,2025-01-24,6,0,12.2
540,S001,2025-01-24,9,6,33.9
541,S001,2025-01-24,12,2,20.1
542,S001,2025-01-24,15,4,27.4
543,S001,2025-01-24,18,7,29.0
544,S001,2025-01-24,21,4,15.3
545,S001,2025-12-22,0,1,3.4
546,S001,2025-12-22,3,0,8.9
547,S001,2025-12-22,6,0,11.9
548,S001,2025-12-22,9,3,27.2
549,S001,2025-12-22,12,1,16.2
550,S001,2025-12-22,15,4,18.2
551,S001,2025-12-22,18,7,24.0
552,S001,2025-12-22,21,2,18.9
553,S001,2025-03-18,0,0,2.2
554,S001,2025-03-18,3,1,7.2
555,S001,2025-03-18,6,2,13.5
556,S001,2025-03-18,9,2,25.0
557,S001,2025-03-18,12,3,18.7
558,S001,2025-03-18,15,1,22.0
559,S001,2025-03-18,18,5,21.3
560,S001,2025-03-18,21,1,13.8
561,S001,2025-03-20,0,1,4.7
562,S001,2025-03-20,3,1,9.2
563,S001,2025-03-20,6,1,14.0
564,S001,2025-03-20,9,1,36.4
565,S001,2025-03-20,12,3,13.5
566,S001,2025-03-20,15,11,17.8
567,S001,2025-03-20,18,8,33.1
568,S001,2025-03-20,21,6,20.0
569,S001,2025-06-12,0,1,11.2
570,S001,2025-06-12,3,1,9.8
571,S001,2025-06-12,6,10,12.5
572,S001,2025-06-12,9,4,27.4
573,S001,2025-06-12,12,4,15.0
574,S001,2025-06-12,15,7,23.4
575,S001,2025-06-12,18,5,29.2
576,S001,2025-06-12,21,3,14.8
577,S001,2025-08-01,0,0,6.6
578,S001,2025-08-01,3,1,10.7
579,S001,2025-08-01,6,3,17.7
580,S001,2025-08-01,9,8,16.8
581,S001,2025-08-01,12,3,15.7
582,S001,2025-08-01,15,4,21.1
583,S001,2025-08-01,18,4,30.0
584,S001,2025-08-01,21,4,16.9
585,S001,2025-02-06,0,0,9.7
586,S001,2025-02-06,3,1,8.7
587,S001,2025-02-06,6,1,15.3
588,S001,2025-02-06,9,8,27.2
589,S001,2025-02-06,12,3,18.4
590,S001,2025-02-06,15,4,19.5
591,S001,2025-02-06,18,3,35.4
592,S001,2025-02-06,21,4,23.6
593,S001,2025-07-20,0,0,12.1
594,S001,2025-07-20,3,1,10.7
595,S001,2025-07-20,6,3,17.2
596,S001,2025-07-20,9,3,26.6
597,S001,2025-07-20,12,2,13.3
598,S001,2025-07-20,15,3,25.2
599,S001,2025-07-20,18,11,34.1
600,S001,2025-07-20,21,3,14.5
601,S001,2025-07-02,0,0,3.8
602,S001,2025-07-02,3,1,13.9
603,S001,2025-07-02,6,1,19.8
604,S001,2025-07-02,9,1,23.7
605,S001,2025-07-02,12,1,16.3
606,S001,2025-07-02,15,5,15.2
607,S001,2025-07-02,18,8,17.1
608,S001,2025-07-02,21,4,16.1
609,S001,2025-07-18,0,1,8.6
610,S001,2025-07-18,3,2,3.2
611,S001,2025-07-18,6,2,17.6
612,S001,2025-07-18,9,3,27.3
613,S001,2025-07-18,12,2,11.3
614,S001,2025-07-18,15,2,21.1
615,S001,2025-07-18,18,4,25.7
616,S001,2025-07-18,21,4,22.3
617,S001,2025-10-26,0,4,2.3
618,S001,2025-10-26,3,0,15.6
619,S001,2025-10-26,6,2,9.4
620,S001,2025-10-26,9,5,29.2
621,S001,2025-10-26,12,5,8.7
622,S001,2025-10-26,15,0,25.2
623,S001,2025-10-26,18,10,32.1
624,S001,2025-10-26,21,6,15.4
625,S001,2025-02-12,0,0,10.0
626,S001,2025-02-12,3,1,6.8
627,S001,2025-02-12,6,3,17.4
628,S001,2025-02-12,9,9,27.7
629,S001,2025-02-12,12,5,15.6
630,S001,2025-02-12,15,5,22.0
631,S001,2025-02-12,18,7,31.8
632,S001,2025-02-12,21,6,18.0
633,S001,2025-11-18,0,0,10.4
634,S001,2025-11-18,3,1,8.2
635,S001,2025-11-18,6,5,13.4
636,S001,2025-11-18,9,9,27.9
637,S001,2025-11-18,12,4,18.9
638,S001,2025-11-18,15,4,16.7
639,S001,2025-11-18,18,11,31.2
640,S001,2025-11-18,21,4,14.4
641,S001,2025-08-09,0,1,9.0
642,S001,2025-08-09,3,0,2.7
643,S001,2025-08-09,6,1,16.1
644,S001,2025-08-09,9,3,34.0
645,S001,2025-08-09,12,1,17.5
646,S001,2025-08-09,15,2,24.0
647,S001,2025-08-09,18,3,27.8
648,S001,2025-08-09,21,6,12.5
649,S001,2025-12-28,0,1,4.0
650,S001,2025-12-28,3,0,0.0
651,S001,2025-12-28,6,1,15.4
652,S001,2025-12-28,9,6,22.0
653,S001,2025-12-28,12,2,10.0
654,S001,2025-12-28,15,8,22.9
655,S001,2025-12-28,18,4,28.7
656,S001,2025-12-28,21,5,15.9
657,S001,2025-04-25,0,0,0.1
658,S001,2025-04-25,3,1,12.0
659,S001,2025-04-25,6,3,19.2
660,S001,2025-04-25,9,4,27.6
661,S001,2025-04-25,12,5,18.1
662,S001,2025-04-25,15,9,18.3
663,S001,2025-04-25,18,8,29.3
664,S001,2025-04-25,21,4,19.0
665,S001,2025-01-27,0,0,2.8
666,S001,2025-01-27,3,1,0.0
667,S001,2025-01-27,6,2,19.2
668,S001,2025-01-27,9,5,28.8
669,S001,2025-01-27,12,5,18.0
670,S001,2025-01-27,15,3,22.4
671,S001,2025-01-27,18,7,24.8
672,S001,2025-01-27,21,1,19.7
673,S001,2025-08-15,0,0,5.2
674,S001,2025-08-15,3,0,6.3
675,S001,2025-08-15,6,4,5.3
676,S001,2025-08-15,9,8,26.4
677,S001,2025-08-15,12,2,11.4
678,S001,2025-08-15,15,3,25.2
679,S001,2025-08-15,18,8,31.2
680,S001,2025-08-15,21,2,18.8
681,S001,2025-04-28,0,0,9.7
682,S001,2025-04-28,3,0,0.8
683,S001,2025-04-28,6,3,20.9
684,S001,2025-04-28,9,4,28.3
685,S001,2025-04-28,12,1,24.1
686,S001,2025-04-28,15,6,18.6
687,S001,2025-04-28,18,4,30.4
688,S001,2025-04-28,21,2,22.7
689,S001,2025-05-21,0,0,11.2
690,S001,2025-05-21,3,0,12.5
691,S001,2025-05-21,6,3,16.4
692,S001,2025-05-21,9,6,30.5
693,S001,2025-05-21,12,5,17.9
694,S001,2025-05-21,15,5,19.3
695,S001,2025-05-21,18,6,22.3
696,S001,2025-05-21,21,4,23.8
