vehicle_id,customer_id,vehicle_type,vehicle_model,battery_capacity_kwh,vehicle_age_years
V00150,CU00877,Sedan,MG5,55,3
V00151,CU04206,Commercial Van,Mahindra Treo,60,1
V00152,CU02661,Sedan,MG5,60,1
V00153,CU03391,Two-Wheeler,Ola S1,3,0
V00154,CU04892,Two-Wheeler,Ola S1,4,3
V00155,CU02030,Hatchback,Tata Tiago EV,40,2
V00156,CU04825,Sedan,BYD Seal,50,0
V00157,CU02553,Hatchback,Tata Tiago EV,40,4
V00158,CU03612,Commercial Van,Mahindra Treo,120,3
V00159,CU01041,Hatchback,MG Comet,30,3
V00160,CU00315,SUV,Hyundai Ioniq 5,82,4
V00161,CU03460,Two-Wheeler,Ola S1,4,2
V00162,CU04173,Hatchback,MG Comet,40,4
V00163,CU03026,Sedan,BYD Seal,50,4
V00164,CU02947,SUV,Hyundai Ioniq 5,70,3
V00165,CU03237,Hatchback,Tata Tiago EV,35,3
V00166,CU03681,Two-Wheeler,Ola S1,4,1
V00167,CU04808,Sedan,BYD Seal,50,3
V00168,CU03107,Hatchback,MG Comet,40,3
V00169,CU01538,SUV,Tata Nexon EV,100,3
V00170,CU03873,Sedan,MG5,50,4
V00171,CU01868,Commercial Van,Mahindra Treo,80,0
V00172,CU04950,Two-Wheeler,Ather 450X,3,2
V00173,CU01162,Sedan,BYD Seal,60,1
V00174,CU03921,Sedan,MG5,55,2
V00175,CU03883,Sedan,MG5,55,3
V00176,CU02757,Sedan,MG5,50,2
V00177,CU01913,SUV,Mahindra XUV400,75,1
V00178,CU00265,Two-Wheeler,Ather 450X,3,0
V00179,CU04429,Sedan,BYD Seal,50,3
V00180,CU04916,Hatchback,MG Comet,40,1
V00181,CU01303,Sedan,BYD Seal,55,2
V00182,CU01195,Hatchback,Tata Tiago EV,30,4
V00183,CU01527,Two-Wheeler,Ola S1,4,4
V00184,CU03605,SUV,Tata Nexon EV,70,4
V00185,CU04395,Sedan,BYD Seal,50,4
V00186,CU02249,Sedan,MG5,60,3
V00187,CU01159,Commercial Van,Mahindra Treo,80,2
V00188,CU04368,Hatchback,MG Comet,30,0
V00189,CU04631,Two-Wheeler,Ather 450X,4,4
V00190,CU03514,Sedan,BYD Seal,50,2
V00191,CU02079,Two-Wheeler,Ola S1,4,1
V00192,CU01145,Two-Wheeler,Ola S1,4,1
V00193,CU00069,Hatchback,MG Comet,35,1
V00194,CU03718,Two-Wheeler,Ather 450X,3,2
V00195,CU03009,SUV,Tata Nexon EV,70,4
V00196,CU00827,Hatchback,MG Comet,30,4
V00197,CU01170,Hatchback,MG Comet,30,1
V00198,CU00984,SUV,Tata Nexon EV,100,4
V00199,CU04577,SUV,Hyundai Ioniq 5,100,3
V00200,CU03978,Two-Wheeler,Ola S1,2,1
V00201,CU03335,Two-Wheeler,Ola S1,4,1
V00202,CU02341,SUV,Tata Nexon EV,100,4
V00203,CU02016,Two-Wheeler,Ather 450X,4,1
V00204,CU01453,SUV,Tata Nexon EV,75,0
V00205,CU02134,Sedan,BYD Seal,55,2
V00206,CU01040,Commercial Van,Mahindra Treo,120,0
V00207,CU04724,Hatchback,Tata Tiago EV,40,1
V00208,CU04214,Sedan,MG5,60,2
V00209,CU03467,Two-Wheeler,Ola S1,3,2
V00210,CU03027,Sedan,MG5,55,0
V00211,CU04258,Hatchback,Tata Tiago EV,40,2
V00212,CU02748,Hatchback,Tata Tiago EV,35,1
V00213,CU04263,SUV,Mahindra XUV400,70,2
V00214,CU04396,Commercial Van,Tata Ace EV,120,3
V00215,CU03496,SUV,Tata Nexon EV,75,4
V00216,CU03856,SUV,Hyundai Ioniq 5,70,1
V00217,CU00562,Sedan,BYD Seal,60,0
V00218,CU02204,Sedan,MG5,60,2
V00219,CU03420,Hatchback,MG Comet,30,1
V00220,CU01145,Sedan,MG5,55,1
V00221,CU02700,Sedan,BYD Seal,50,4
V00222,CU01552,Hatchback,Tata Tiago EV,35,0
V00223,CU04022,Hatchback,Tata Tiago EV,35,2
V00224,CU00561,Two-Wheeler,Ather 450X,4,0
V00225,CU01188,Two-Wheeler,Ather 450X,2,0
V00226,CU03134,Commercial Van,Tata Ace EV,60,0
V00227,CU03412,SUV,Tata Nexon EV,70,4
V00228,CU01690,Hatchback,MG Comet,30,4
V00229,CU04408,Two-Wheeler,Ather 450X,3,0
V00230,CU02424,Hatchback,Tata Tiago EV,40,0
V00231,CU01370,SUV,Hyundai Ioniq 5,75,4
V00232,CU00581,Two-Wheeler,Ola S1,3,0
V00233,CU00977,Two-Wheeler,Ather 450X,3,2
V00234,CU04273,Commercial Van,Mahindra Treo,80,1
V00235,CU04610,Two-Wheeler,Ola S1,4,3
V00236,CU02357,SUV,Hyundai Ioniq 5,100,2
V00237,CU00119,Sedan,MG5,55,1
V00238,CU01543,Commercial Van,Mahindra Treo,80,3
V00239,CU04863,Hatchback,MG Comet,40,3
V00240,CU03044,Commercial Van,Mahindra Treo,60,3
V00241,CU00973,Sedan,BYD Seal,55,2
V00242,CU00916,Hatchback,MG Comet,35,0
V00243,CU01438,Two-Wheeler,Ola S1,2,1
V00244,CU00587,Hatchback,MG Comet,40,4
V00245,CU00351,Two-Wheeler,Ola S1,4,4
V00246,CU04592,Sedan,MG5,50,0
V00247,CU02563,Two-Wheeler,Ather 450X,4,4
V00248,CU01871,SUV,Tata Nexon EV,70,4
V00249,CU00273,SUV,Tata Nexon EV,82,1
V00250,CU02928,Sedan,MG5,55,4
V00251,CU04359,Hatchback,Tata Tiago EV,35,0
V00252,CU03440,Two-Wheeler,Ola S1,3,2
V00253,CU03042,Hatchback,MG Comet,40,3
V00254,CU03949,Sedan,MG5,50,1
V00255,CU01765,SUV,Hyundai Ioniq 5,100,1
V00256,CU04291,Sedan,MG5,55,3
V00257,CU01771,Hatchback,Tata Tiago EV,30,3
V00258,CU01523,Hatchback,MG Comet,40,1
V00259,CU00832,Hatchback,Tata Tiago EV,30,1
V00260,CU00562,Two-Wheeler,Ather 450X,4,4
V00261,CU03541,Hatchback,MG Comet,35,4
V00262,CU04137,Commercial Van,Mahindra Treo,60,2
V00263,CU01480,Hatchback,MG Comet,35,0
V00264,CU04467,Hatchback,Tata Tiago EV,30,3
V00265,CU01206,SUV,Tata Nexon EV,100,2
V00266,CU00657,Hatchback,MG Comet,35,2
V00267,CU03941,SUV,Hyundai Ioniq 5,70,1
V00268,CU00590,Two-Wheeler,Ather 450X,4,0
V00269,CU04327,Hatchback,MG Comet,30,3
V00270,CU04905,Two-Wheeler,Ather 450X,2,2
V00271,CU01372,Sedan,BYD Seal,55,3
V00272,CU04575,Hatchback,Tata Tiago EV,40,2
V00273,CU03752,Hatchback,Tata Tiago EV,30,4
V00274,CU03760,Commercial Van,Mahindra Treo,80,2
V00275,CU02101,Hatchback,MG Comet,30,2
V00276,CU01885,Two-Wheeler,Ola S1,3,1
V00277,CU00748,SUV,Hyundai Ioniq 5,82,3
V00278,CU00464,Hatchback,MG Comet,30,1
V00279,CU00754,Sedan,BYD Seal,60,0
V00280,CU00583,Two-Wheeler,Ather 450X,2,1
V00281,CU02206,Two-Wheeler,Ola S1,4,4
V00282,CU04115,Sedan,MG5,60,3
V00283,CU04151,Two-Wheeler,Ather 450X,3,4
V00284,CU04028,Hatchback,Tata Tiago EV,30,0
V00285,CU04817,Commercial Van,Mahindra Treo,80,3
V00286,CU03354,Two-Wheeler,Ola S1,4,4
V00287,CU02809,Two-Wheeler,Ola S1,2,4
V00288,CU03604,Two-Wheeler,Ola S1,3,2
V00289,CU03914,SUV,Hyundai Ioniq 5,75,3
V00290,CU01420,SUV,Hyundai Ioniq 5,100,3
V00291,CU02168,SUV,Tata Nexon EV,82,3
V00292,CU02145,Sedan,MG5,60,1
V00293,CU02168,SUV,Mahindra XUV400,70,3
V00294,CU01561,Sedan,BYD Seal,50,0
V00295,CU01177,Sedan,MG5,60,1
V00296,CU01269,Sedan,MG5,60,2
V00297,CU03588,Hatchback,MG Comet,35,2
V00298,CU01167,Sedan,BYD Seal,50,1
V00299,CU03576,Two-Wheeler,Ather 450X,2,4
V00300,CU02842,Sedan,MG5,55,0
V00301,CU01871,Two-Wheeler,Ola S1,3,4
V00302,CU03930,Hatchback,Tata Tiago EV,35,3
V00303,CU02268,Sedan,MG5,60,0
V00304,CU02887,Hatchback,Tata Tiago EV,40,0
V00305,CU00160,Hatchback,MG Comet,40,3
V00306,CU02659,SUV,Mahindra XUV400,100,4
V00307,CU03764,SUV,Hyundai Ioniq 5,70,0
V00308,CU04735,Hatchback,MG Comet,40,2
V00309,CU01056,Sedan,MG5,60,1
V00310,CU00334,Two-Wheeler,Ather 450X,4,3
V00311,CU03597,Hatchback,Tata Tiago EV,35,0
V00312,CU00892,Hatchback,Tata Tiago EV,35,4
V00313,CU02988,SUV,Hyundai Ioniq 5,82,1
V00314,CU04448,Hatchback,MG Comet,35,0
V00315,CU01363,Commercial Van,Tata Ace EV,60,4
V00316,CU00926,SUV,Tata Nexon EV,100,3
V00317,CU02444,Sedan,MG5,55,0
V00318,CU02578,Sedan,BYD Seal,55,2
V00319,CU03981,SUV,Hyundai Ioniq 5,100,0
V00320,CU02406,Hatchback,MG Comet,35,1
V00321,CU01420,Commercial Van,Mahindra Treo,80,2
V00322,CU02876,SUV,Mahindra XUV400,82,4
V00323,CU00060,Hatchback,Tata Tiago EV,40,2
V00324,CU02525,SUV,Hyundai Ioniq 5,75,3
V00325,CU03798,Hatchback,MG Comet,40,3
V00326,CU02660,Hatchback,Tata Tiago EV,40,0
V00327,CU04097,SUV,Hyundai Ioniq 5,82,4
V00328,CU01579,SUV,Tata Nexon EV,82,3
V00329,CU04407,SUV,Tata Nexon EV,70,2
V00330,CU03106,Hatchback,MG Comet,40,1
V00331,CU00708,SUV,Hyundai Ioniq 5,75,4
V00332,CU01781,Hatchback,Tata Tiago EV,30,1
V00333,CU02414,SUV,Hyundai Ioniq 5,75,0
V00334,CU04954,SUV,Hyundai Ioniq 5,100,1
V00335,CU03407,SUV,Tata Nexon EV,100,4
V00336,CU02162,Two-Wheeler,Ola S1,2,2
V00337,CU03540,Two-Wheeler,Ola S1,3,4
V00338,CU00609,Commercial Van,Mahindra Treo,120,0
V00339,CU00309,Commercial Van,Mahindra Treo,80,1
V00340,CU04308,Two-Wheeler,Ola S1,4,0
V00341,CU02365,Commercial Van,Mahindra Treo,80,4
V00342,CU00185,Two-Wheeler,Ola S1,3,0
V00343,CU00246,Two-Wheeler,Ather 450X,2,2
V00344,CU00239,Hatchback,Tata Tiago EV,30,2
V00345,CU00520,Hatchback,MG Comet,40,2
V00346,CU03908,Two-Wheeler,Ola S1,3,2
V00347,CU00277,Sedan,BYD Seal,55,2
V00348,CU04029,Two-Wheeler,Ather 450X,2,2
V00349,CU04310,Sedan,BYD Seal,60,4
V00350,CU00606,Sedan,MG5,60,4
V00351,CU04574,Two-Wheeler,Ather 450X,4,4
V00352,CU04604,Commercial Van,Tata Ace EV,80,4
V00353,CU04054,Hatchback,MG Comet,30,0
V00354,CU02713,Two-Wheeler,Ather 450X,3,3
V00355,CU00142,Two-Wheeler,Ather 450X,3,0
V00356,CU03662,Sedan,MG5,55,4
V00357,CU02370,Sedan,MG5,60,0
V00358,CU01718,Hatchback,MG Comet,40,2
V00359,CU04557,Hatchback,MG Comet,30,2
V00360,CU04766,Sedan,MG5,60,0
V00361,CU03428,Hatchback,Tata Tiago EV,40,4
V00362,CU02325,Hatchback,MG Comet,40,3
V00363,CU01845,Two-Wheeler,Ola S1,3,1
V00364,CU00400,SUV,Hyundai Ioniq 5,70,4
V00365,CU04764,SUV,Tata Nexon EV,82,4
V00366,CU02564,Hatchback,MG Comet,30,0
V00367,CU01523,Two-Wheeler,Ola S1,4,2
V00368,CU01335,Two-Wheeler,Ola S1,2,4
V00369,CU02624,SUV,Hyundai Ioniq 5,82,4
V00370,CU00239,Commercial Van,Tata Ace EV,80,0
V00371,CU03216,Two-Wheeler,Ather 450X,2,4
V00372,CU03648,Two-Wheeler,Ola S1,2,4
V00373,CU01617,Two-Wheeler,Ola S1,2,2
V00374,CU02430,Hatchback,Tata Tiago EV,40,3
V00375,CU03653,Sedan,BYD Seal,50,2
V00376,CU01722,Hatchback,Tata Tiago EV,40,0
V00377,CU01273,Hatchback,Tata Tiago EV,35,1
V00378,CU03140,Hatchback,Tata Tiago EV,35,1
V00379,CU02879,Two-Wheeler,Ola S1,3,1
V00380,CU01536,Hatchback,Tata Tiago EV,30,2
V00381,CU00536,Commercial Van,Tata Ace EV,120,0
V00382,CU00949,SUV,Tata Nexon EV,82,1
V00383,CU04959,Hatchback,Tata Tiago EV,40,0
V00384,CU02643,Sedan,MG5,50,2
V00385,CU03942,Hatchback,MG Comet,35,2
V00386,CU01022,Commercial Van,Mahindra Treo,120,4
V00387,CU00434,Two-Wheeler,Ola S1,3,1
V00388,CU01404,Hatchback,Tata Tiago EV,35,1
V00389,CU03512,Commercial Van,Tata Ace EV,120,2
V00390,CU02936,Two-Wheeler,Ather 450X,3,3
V00391,CU04879,Hatchback,Tata Tiago EV,35,0
V00392,CU04265,SUV,Mahindra XUV400,70,2
V00393,CU04805,SUV,Mahindra XUV400,100,4
V00394,CU03334,Hatchback,Tata Tiago EV,40,1
V00395,CU01603,Two-Wheeler,Ather 450X,2,4
V00396,CU00229,Hatchback,MG Comet,30,2
V00397,CU04523,Sedan,BYD Seal,50,0
V00398,CU04218,Hatchback,Tata Tiago EV,35,2
V00399,CU02197,Commercial Van,Tata Ace EV,120,4
V00400,CU02900,Two-Wheeler,Ather 450X,3,1
V00401,CU00111,Hatchback,MG Comet,40,2
V00402,CU01245,Sedan,BYD Seal,55,4
V00403,CU04160,Hatchback,MG Comet,35,2
V00404,CU02686,Two-Wheeler,Ather 450X,4,2
V00405,CU03802,Hatchback,Tata Tiago EV,40,2
V00406,CU03868,Two-Wheeler,Ola S1,2,3
V00407,CU01378,Commercial Van,Mahindra Treo,80,0
V00408,CU01772,SUV,Tata Nexon EV,75,1
V00409,CU00013,Hatchback,MG Comet,40,3
V00410,CU04335,Sedan,MG5,50,4
V00411,CU03262,Sedan,BYD Seal,50,3
V00412,CU00663,SUV,Mahindra XUV400,70,1
V00413,CU03093,SUV,Tata Nexon EV,75,3
V00414,CU00694,SUV,Tata Nexon EV,100,4
V00415,CU03391,Sedan,BYD Seal,60,1
V00416,CU01182,Two-Wheeler,Ola S1,3,1
V00417,CU03019,Hatchback,MG Comet,35,4
V00418,CU01505,Sedan,MG5,50,0
V00419,CU01903,Two-Wheeler,Ather 450X,3,4
V00420,CU04172,Hatchback,MG Comet,40,3
V00421,CU00329,Two-Wheeler,Ola S1,2,1
V00422,CU01440,Two-Wheeler,Ola S1,4,4
V00423,CU03847,SUV,Mahindra XUV400,82,1
V00424,CU04168,Hatchback,MG Comet,40,2
V00425,CU00225,Hatchback,MG Comet,30,4
V00426,CU02521,Sedan,BYD Seal,50,0
V00427,CU03715,Hatchback,Tata Tiago EV,35,2
V00428,CU02408,Commercial Van,Mahindra Treo,60,2
V00429,CU00811,SUV,Hyundai Ioniq 5,100,3
V00430,CU03118,Sedan,MG5,50,1
V00431,CU04774,Commercial Van,Mahindra Treo,60,4
V00432,CU03291,Two-Wheeler,Ather 450X,4,2
V00433,CU04387,Sedan,BYD Seal,60,3
V00434,CU02252,Sedan,BYD Seal,50,0
V00435,CU04662,Hatchback,Tata Tiago EV,30,4
V00436,CU02530,Commercial Van,Mahindra Treo,60,4
V00437,CU04607,SUV,Tata Nexon EV,75,1
V00438,CU00924,Two-Wheeler,Ola S1,3,1
V00439,CU03053,Sedan,BYD Seal,60,4
V00440,CU00016,Two-Wheeler,Ola S1,2,0
V00441,CU03597,Hatchback,Tata Tiago EV,30,4
V00442,CU02404,Commercial Van,Mahindra Treo,60,0
V00443,CU04452,Commercial Van,Mahindra Treo,120,1
V00444,CU04926,Sedan,MG5,55,1
V00445,CU04011,Two-Wheeler,Ola S1,4,3
V00446,CU02647,Two-Wheeler,Ather 450X,4,3
V00447,CU01102,Commercial Van,Mahindra Treo,80,4
V00448,CU02976,Sedan,MG5,55,1
V00449,CU01091,Sedan,BYD Seal,50,3
V00450,CU02907,Two-Wheeler,Ola S1,3,4
V00451,CU01747,Two-Wheeler,Ather 450X,4,2
V00452,CU04310,Sedan,MG5,55,3
V00453,CU01721,Two-Wheeler,Ather 450X,4,1
V00454,CU00449,Hatchback,MG Comet,40,0
V00455,CU03013,Two-Wheeler,Ola S1,2,1
V00456,CU03505,Hatchback,MG Comet,40,4
V00457,CU01569,Sedan,MG5,50,3
V00458,CU03187,Sedan,BYD Seal,55,2
V00459,CU03492,Sedan,BYD Seal,55,0
V00460,CU02547,SUV,Hyundai Ioniq 5,75,3
V00461,CU04806,SUV,Hyundai Ioniq 5,70,0
V00462,CU04476,Sedan,MG5,50,2
V00463,CU01048,Hatchback,MG Comet,30,0
V00464,CU04635,Two-Wheeler,Ola S1,4,3
V00465,CU04849,Sedan,BYD Seal,55,4
V00466,CU04631,SUV,Mahindra XUV400,82,0
V00467,CU04769,SUV,Tata Nexon EV,75,2
V00468,CU01065,Commercial Van,Tata Ace EV,60,3
V00469,CU03822,Two-Wheeler,Ather 450X,2,2
V00470,CU00568,Hatchback,MG Comet,30,1
V00471,CU01437,Two-Wheeler,Ather 450X,2,4
V00472,CU04511,Commercial Van,Tata Ace EV,120,0
V00473,CU04545,Sedan,BYD Seal,50,3
V00474,CU04706,Commercial Van,Mahindra Treo,60,2
V00475,CU02706,SUV,Mahindra XUV400,75,1
V00476,CU02484,Sedan,BYD Seal,55,0
V00477,CU04801,Sedan,BYD Seal,50,0
V00478,CU04830,SUV,Mahindra XUV400,100,3
V00479,CU03780,Hatchback,MG Comet,30,2
V00480,CU04896,Hatchback,MG Comet,40,0
V00481,CU02795,Hatchback,Tata Tiago EV,30,2
V00482,CU01861,Sedan,MG5,60,4
V00483,CU03337,Sedan,MG5,50,1
V00484,CU01891,SUV,Tata Nexon EV,75,0
V00485,CU04827,Sedan,BYD Seal,60,2
V00486,CU04292,Commercial Van,Tata Ace EV,80,1
V00487,CU01098,Sedan,MG5,60,4
V00488,CU01639,Sedan,BYD Seal,50,3
V00489,CU01659,Hatchback,MG Comet,40,3
V00490,CU01126,Sedan,BYD Seal,60,3
V00491,CU00264,Hatchback,Tata Tiago EV,40,0
V00492,CU02993,SUV,Tata Nexon EV,75,1
V00493,CU00161,Two-Wheeler,Ather 450X,4,2
V00494,CU01257,Hatchback,Tata Tiago EV,30,2
V00495,CU04866,Sedan,BYD Seal,60,2
V00496,CU00311,Hatchback,MG Comet,40,0
V00497,CU00227,Two-Wheeler,Ola S1,3,1
V00498,CU00273,Two-Wheeler,Ola S1,4,0
V00499,CU04413,Hatchback,Tata Tiago EV,40,4
V00500,CU01923,Sedan,BYD Seal,60,0
V00501,CU03158,Commercial Van,Mahindra Treo,60,3
V00502,CU02339,Sedan,BYD Seal,50,1
V00503,CU01602,SUV,Mahindra XUV400,75,1
V00504,CU03719,Sedan,BYD Seal,50,3
V00505,CU02423,SUV,Hyundai Ioniq 5,75,2
V00506,CU01926,Commercial Van,Mahindra Treo,120,1
V00507,CU00567,Commercial Van,Mahindra Treo,60,2
V00508,CU02916,Two-Wheeler,Ather 450X,2,3
V00509,CU00252,Sedan,MG5,50,3
V00510,CU02355,Sedan,BYD Seal,60,4
V00511,CU03502,Sedan,BYD Seal,55,0
V00512,CU04771,Commercial Van,Tata Ace EV,120,0
V00513,CU02312,Two-Wheeler,Ola S1,2,3
V00514,CU02116,Sedan,MG5,50,1
V00515,CU01603,Hatchback,MG Comet,30,0
V00516,CU03271,SUV,Mahindra XUV400,82,3
