charger_id,station_id,charger_type,power_kw,status,installed_date
C0044,S007,AC,7,Active,2021-02-10
C0045,S007,DC,60,Active,2021-02-10
C0046,S007,DC_FAST,120,Active,2021-02-10
C0047,S007,DC,30,Active,2021-02-10
C0048,S007,AC,11,Active,2021-02-10
C0049,S007,DC,60,Active,2021-02-10
C0050,S007,DC,30,Active,2021-02-10
C0051,S007,AC,11,Active,2021-02-10
C0052,S007,DC,60,Under Maintenance,2021-02-10
C0053,S008,AC,7,Active,2023-11-18
C0054,S008,AC,7,Active,2023-11-18
C0055,S008,AC,22,Active,2023-11-18
C0056,S008,DC,30,Active,2023-11-18
C0057,S008,DC,60,Under Maintenance,2023-11-18
C0058,S008,DC,60,Active,2023-11-18
C0059,S009,AC,7,Active,2021-05-15
C0060,S009,DC,60,Active,2021-05-15
C0061,S009,AC,7,Active,2021-05-15
C0062,S009,DC,60,Active,2021-05-15
C0063,S009,AC,11,Under Maintenance,2021-05-15
C0064,S009,AC,11,Active,2021-05-15
C0065,S009,DC,30,Under Maintenance,2021-05-15
C0066,S010,AC,7,Active,2021-07-20
C0067,S010,DC_FAST,150,Under Maintenance,2021-07-20
C0068,S010,AC,22,Active,2021-07-20
C0069,S010,AC,11,Active,2021-07-20
C0070,S010,AC,11,Active,2021-07-20
C0071,S010,DC_FAST,120,Active,2021-07-20
C0072,S010,DC,60,Active,2021-07-20
C0073,S011,AC,11,Active,2023-02-19
C0074,S011,AC,7,Active,2023-02-19
C0075,S011,DC,60,Under Maintenance,2023-02-19
C0076,S011,AC,11,Active,2023-02-19
C0077,S012,AC,7,Active,2023-07-19
C0078,S012,DC,30,Active,2023-07-19
C0079,S012,DC,30,Active,2023-07-19
C0080,S012,DC_FAST,150,Active,2023-07-19
C0081,S012,DC,60,Active,2023-07-19
C0082,S012,DC,30,Under Maintenance,2023-07-19
C0083,S013,DC_FAST,120,Active,2023-11-23
C0084,S013,AC,11,Active,2023-11-23
C0085,S013,AC,7,Under Maintenance,2023-11-23
C0086,S013,AC,7,Active,2023-11-23
C0087,S013,DC_FAST,120,Active,2023-11-23
C0088,S013,DC,60,Under Maintenance,2023-11-23
C0089,S013,DC_FAST,120,Active,2023-11-23
C0090,S013,DC,30,Active,2023-11-23
C0091,S014,AC,22,Active,2023-12-08
C0092,S014,AC,7,Active,2023-12-08
C0093,S014,DC,30,Active,2023-12-08
C0094,S014,DC_FAST,150,Active,2023-12-08
C0095,S014,AC,11,Active,2023-12-08
C0096,S014,DC,30,Active,2023-12-08
C0097,S015,DC_FAST,150,Under Maintenance,2022-05-18
C0098,S015,DC,30,Active,2022-05-18
C0099,S015,AC,22,Under Maintenance,2022-05-18
C0100,S015,AC,7,Active,2022-05-18
C0101,S015,AC,7,Active,2022-05-18
C0102,S015,AC,11,Active,2022-05-18
C0103,S015,DC,30,Active,2022-05-18
C0104,S015,AC,11,Under Maintenance,2022-05-18
C0105,S016,AC,11,Under Maintenance,2022-02-11
C0106,S016,DC_FAST,150,Active,2022-02-11
C0107,S016,DC,60,Active,2022-02-11
C0108,S016,DC,30,Active,2022-02-11
C0109,S017,DC,60,Active,2023-03-16
C0110,S017,AC,22,Active,2023-03-16
C0111,S017,DC,60,Active,2023-03-16
C0112,S017,DC,30,Under Maintenance,2023-03-16
C0113,S017,DC,30,Active,2023-03-16
C0114,S018,AC,7,Active,2021-04-09
C0115,S018,AC,7,Under Maintenance,2021-04-09
C0116,S018,AC,11,Active,2021-04-09
C0117,S018,AC,11,Active,2021-04-09
C0118,S018,AC,11,Under Maintenance,2021-04-09
C0119,S018,DC_FAST,120,Active,2021-04-09
C0120,S018,AC,22,Active,2021-04-09
C0121,S019,DC,60,Under Maintenance,2022-11-15
C0122,S019,DC_FAST,90,Under Maintenance,2022-11-15
C0123,S019,DC_FAST,120,Under Maintenance,2022-11-15
C0124,S019,DC,60,Active,2022-11-15
C0125,S020,DC_FAST,120,Active,2022-12-27
C0126,S020,DC,60,Under Maintenance,2022-12-27
C0127,S020,AC,22,Under Maintenance,2022-12-27
C0128,S020,DC,30,Active,2022-12-27
C0129,S020,AC,7,Active,2022-12-27
C0130,S020,DC_FAST,120,Under Maintenance,2022-12-27
C0131,S020,DC_FAST,90,Active,2022-12-27
